0,3,114,95,6,29,107,86,42,88,52,68,9,17,13,44,0
0,7,10,7,16,11,16,6,11,7,20,2,20,12,7,3,0
0,26,135,114,32,52,139,118,67,121,82,91,38,39,38,61,139
0,27,136,115,34,54,141,119,69,122,84,92,40,41,39,62,141
0,17,12,16,13,8,6,10,6,8,3,11,2,6,11,15,0
0,17.0,12.0,16.0,6.5,4.0,3.0,10.0,3.0,8.0,1.5,11.0,1.0,3.0,11.0,15.0,0
0,4,3,2,3,2,1,1,3,1,1,3,1,2,6,4,0
0,4,7,3,9,4,8,9,3,5,8,4,5,8,4,8,0
0,0,8,5,8,6,4,2,3,10,6,10,9,10,4,2,0
0,10,0,5,6,9,2,8,7,8,2,8,7,4,9,8,0
0,10,3,0,10,9,7,4,3,10,2,2,9,9,8,6,0
0,9,8,7,0,9,8,3,10,6,5,6,7,10,7,4,0
0,6,2,3,4,0,5,3,5,9,3,3,6,5,6,4,0
0,8,5,10,3,10,0,8,3,8,3,4,7,7,10,6,0
0,7,3,8,5,10,4,0,7,8,9,7,9,2,9,2,0
0,8,4,2,6,9,7,2,0,7,9,2,8,6,10,8,0
0,3,7,6,8,9,7,2,10,0,10,3,2,6,4,8,0
0,6,7,7,7,6,3,7,9,3,0,7,6,4,8,2,0
0,3,8,5,3,10,5,8,3,8,9,0,2,3,9,2,0
0,3,5,10,4,5,10,10,2,9,10,2,0,4,9,4,0
0,7,4,7,3,7,5,3,10,3,8,10,7,0,10,2,0
0,7,5,2,5,9,5,3,3,10,7,8,7,4,0,7,0
0,3,4,4,8,4,6,2,5,7,3,7,6,5,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
