0,20,39,44,25,4,42,1,38,4,36,0
0,3,8,15,18,10,6,19,6,10,6,0
0,102,103,126,85,27,82,30,124,80,98,126
0,105,111,140,102,36,88,48,130,89,104,140
0,12,9,18,17,20,14,18,7,3,7,0
0,4,1.125,1.2857,1,2.2222,2.3333,1,1.1667,0.33333,1.1667,0
0,8,6,3,5,3,6,8,3,3,4,0
0,0,9,5,4,8,8,8,7,2,3,0
0,10,0,8,8,10,9,3,2,5,2,0
0,5,6,0,10,3,6,6,8,2,2,0
0,3,9,9,0,5,7,10,10,6,10,0
0,8,9,6,10,0,10,3,7,8,8,0
0,7,9,6,4,4,0,7,3,2,7,0
0,6,8,2,2,6,8,0,7,9,10,0
0,3,10,10,7,5,9,7,0,9,3,0
0,3,10,8,3,10,7,3,7,0,9,0
0,10,8,9,3,10,7,9,4,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0
