66	54	5573	5574	73
87	44	4588	4589	59
94	14	1600	1601	19
85	59	6183	6184	80
88	41	4305	4306	55
78	53	5481	5483	71
83	0	182	183	1
54	46	4767	4769	62
73	31	3265	3267	42
68	67	6915	6916	90
77	18	1982	1983	25
99	64	6718	6720	87
66	24	2526	2528	32
83	65	6788	6790	88
73	7	830	831	10
73	30	3186	3187	41
77	40	4207	4208	54
55	64	6675	6676	87
71	11	1202	1203	15
93	50	5250	5251	68
60	46	4769	4770	62
99	2	333	334	3
54	60	6211	6213	81
56	3	454	455	5
72	17	1812	1814	23
56	19	2046	2047	26
80	12	1338	1339	16
65	4	525	526	6
73	50	5195	5196	67
66	4	502	504	5
54	10	1086	1088	13
57	31	3233	3234	42
67	5	671	672	8
52	21	2207	2209	28
82	13	1467	1468	18
64	21	2263	2264	29
65	21	2253	2255	29
93	38	4047	4048	52
68	58	5986	5987	78
83	53	5552	5553	72
54	48	4995	4997	65
57	59	6127	6128	80
83	61	6351	6352	83
66	3	470	471	5
61	15	1689	1691	21
74	19	2034	2036	25
82	65	6800	6801	89
85	27	2903	2904	37
74	35	3659	3661	47
89	49	5104	5105	66
65	38	3975	3976	51
99	16	1796	1797	22
59	3	446	447	5
79	33	3443	3444	44
53	20	2116	2117	27
99	1	214	216	1
78	40	4157	4158	54
88	23	2518	2520	32
61	65	6694	6695	87
93	54	5670	5672	73
72	51	5319	5320	69
81	29	3057	3058	39
91	73	7610	7612	99
88	5	604	605	6
74	43	4492	4493	58
51	10	1155	1156	14
57	31	3238	3240	42
50	68	7069	7071	93
56	56	5779	5780	75
94	39	4080	4082	52
97	8	1003	1004	12
84	22	2392	2393	30
77	39	4133	4134	53
62	1	209	210	1
97	30	3222	3223	41
53	4	513	514	6
74	37	3883	3885	50
54	23	2454	2455	31
95	58	6090	6091	79
55	23	2402	2404	31
72	67	6904	6905	90
61	8	902	903	11
86	22	2342	2343	29
61	71	7388	7389	97
94	13	1446	1447	17
87	13	1442	1443	17
91	9	1024	1025	12
91	64	6660	6662	87
93	5	626	627	7
74	71	7339	7340	96
88	11	1294	1296	16
81	3	449	450	4
96	60	6248	6250	81
69	43	4486	4487	58
90	32	3389	3390	43
51	46	4769	4771	62
81	51	5343	5344	69
77	18	1991	1992	25
96	2	376	378	3
59	70	7205	7206	94
