0,9,13,20,19,19,5,4,5,19,12,0
0,4,14,2,2,11,4,5,5,6,13,0
0,58,56,84,77,78,51,49,46,80,66,84
0,60,63,85,78,84,53,52,49,83,73,85
0,10,6,18,11,18,4,18,10,13,6,0
0,5,0.85714,18,11,3,2,6,3.3333,4.3333,0.85714,0
0,6,6,3,7,10,6,9,3,4,10,0
0,0,3,8,8,7,4,5,5,8,8,0
0,4,0,6,6,8,5,4,10,6,8,0
0,4,3,0,10,3,8,8,9,3,2,0
0,5,2,10,0,5,7,7,4,10,8,0
0,2,3,7,5,0,8,4,5,9,7,0
0,5,5,9,7,9,0,4,8,10,4,0
0,9,8,2,9,10,2,0,7,10,2,0
0,9,3,9,7,5,3,2,0,5,4,0
0,8,4,10,10,5,3,10,4,0,10,0
0,6,9,10,6,8,10,6,4,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0
