
2
9


85 83 
60 70 
58 79 
76 77 
52 96 
96 84 
81 77 
98 99 
96 72 


58 70 64 81 79 90 56 99 59 
85 78 62 74 63 85 87 69 98 
67 85 76 58 50 89 60 81 72 
51 69 52 93 91 55 78 64 52 
81 82 80 68 65 54 85 70 81 
57 74 78 51 75 50 85 78 54 
89 74 80 61 75 67 79 79 57 
59 69 96 92 93 53 61 64 99 
62 76 73 52 59 69 89 75 74 

55 77 55 90 62 59 91 63 56 
90 64 50 81 50 88 95 64 62 
82 89 94 83 84 52 99 86 74 
73 90 97 50 92 64 75 72 64 
93 91 80 59 90 80 76 52 91 
80 94 64 86 87 65 97 75 52 
57 92 98 94 69 96 76 72 59 
61 55 81 97 98 66 75 99 98 
86 76 72 66 59 54 92 63 68 


