
4
7


58 58 82 55 
94 84 72 61 
71 57 65 86 
67 60 52 90 
55 52 69 96 
76 64 79 96 
53 57 57 73 


98 57 97 60 55 84 56 
68 91 73 63 98 60 95 
64 80 88 61 66 55 51 
65 59 72 83 64 83 84 
98 89 89 90 98 82 92 
79 87 71 88 92 57 83 
70 89 79 91 57 50 97 

74 91 53 76 78 61 86 
62 65 88 88 66 85 96 
93 80 65 54 93 98 79 
79 99 95 76 55 99 50 
98 96 61 97 89 74 88 
83 71 61 94 97 72 63 
76 63 50 66 95 59 73 

95 80 77 90 75 64 82 
54 69 56 97 75 62 64 
81 58 62 72 68 89 52 
58 56 73 85 51 91 54 
62 52 89 59 93 93 82 
50 93 53 59 86 51 65 
64 79 64 56 98 88 62 

62 62 94 63 95 81 61 
88 68 80 71 90 84 53 
72 91 87 79 62 97 60 
84 66 68 65 57 88 55 
98 50 97 81 70 79 73 
57 75 55 58 62 81 89 
64 63 68 67 62 64 75 


