0,32,12,42,12,30,12,40,11,5,31,0
0,19,10,15,2,12,18,19,20,18,12,0
0,124,153,198,113,160,119,155,132,112,134,198
0,138,160,209,115,169,132,169,146,125,143,209
0,9,17,20,18,14,18,14,9,9,15,0
0,0.64286,2.4286,1.8182,9,1.5556,1.3846,1,0.64286,0.69231,1.6667,0
0,3,10,2,7,7,10,8,7,4,3,0
0,0,5,9,10,6,10,2,8,5,6,0
0,8,0,7,8,9,9,8,5,6,7,0
0,6,10,0,9,6,10,6,6,5,5,0
0,9,2,3,0,9,6,2,4,6,2,0
0,4,8,10,8,0,8,5,3,3,10,0
0,3,3,6,9,8,0,7,3,6,7,0
0,8,7,9,10,3,4,0,7,3,3,0
0,5,5,6,9,2,5,10,0,9,9,0
0,6,8,6,7,2,7,6,8,0,7,0
0,9,5,4,5,10,10,8,7,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0
