12
120

74 90 85 88 68 98 99 50 56 69 64 87 
83 63 60 78 59 99 59 91 51 78 79 72 
82 76 88 56 75 63 80 59 87 56 56 96 
68 68 72 79 86 97 89 98 53 88 73 58 
88 76 81 70 92 83 50 99 97 61 60 82 
83 73 86 90 68 89 51 52 67 54 95 70 
53 53 98 84 71 88 57 71 85 88 77 98 
85 84 69 60 95 53 62 75 77 69 82 94 
77 73 79 69 64 81 89 72 99 58 87 64 
68 91 72 70 77 64 50 96 59 98 51 87 
87 82 81 70 63 91 71 73 94 95 50 74 
60 93 61 53 75 84 64 54 56 56 95 70 
93 52 56 67 63 95 52 95 52 92 54 65 
54 81 89 88 60 76 81 77 81 64 64 60 
56 65 62 84 94 98 59 75 67 98 53 50 
90 70 95 64 73 85 98 94 59 56 64 96 
62 54 88 96 89 51 85 96 89 72 95 71 
88 52 60 84 88 91 90 52 56 64 70 75 
50 95 67 95 55 92 50 76 86 64 84 78 
95 58 72 54 58 93 87 52 58 69 55 77 
53 51 73 52 81 86 90 56 63 70 82 66 
56 96 51 79 83 51 86 97 77 72 83 50 
96 98 52 50 93 85 98 56 70 83 95 65 
69 89 74 57 76 87 82 64 94 79 63 81 
82 52 89 91 51 90 90 80 71 91 76 64 
72 84 51 88 51 91 96 92 61 63 63 88 
70 62 60 94 82 80 76 80 63 82 53 74 
75 59 80 97 69 62 89 72 63 77 55 86 
74 52 90 55 56 84 85 89 84 74 52 75 
69 57 93 73 83 52 52 60 91 67 70 54 
50 57 70 84 58 65 97 74 67 86 81 56 
71 99 87 95 56 84 67 83 80 74 83 92 
53 67 89 77 92 97 80 71 78 83 84 96 
69 88 88 69 54 64 54 96 79 77 99 88 
82 72 97 82 61 65 57 89 79 64 84 85 
56 79 74 51 90 91 62 68 71 61 87 91 
68 91 51 90 66 78 84 67 75 94 96 88 
96 84 89 73 87 55 71 76 53 77 59 91 
85 74 75 55 93 57 98 81 93 78 85 90 
96 81 76 65 65 84 85 94 75 66 67 60 
94 81 93 95 61 56 74 82 70 61 87 69 
72 95 95 61 80 67 90 58 62 99 81 96 
50 81 78 51 76 72 96 86 63 54 78 61 
65 86 78 88 58 89 64 87 51 99 51 64 
77 77 59 87 83 94 80 72 50 97 99 57 
79 86 89 62 80 91 68 52 87 60 59 56 
57 54 81 61 67 77 69 94 68 63 77 72 
99 97 59 74 56 95 56 71 86 67 80 53 
85 60 73 86 62 78 72 59 55 67 90 85 
92 57 87 75 55 55 86 81 83 91 55 66 
68 93 59 74 67 89 90 59 86 93 76 58 
72 62 73 97 67 65 90 79 95 62 68 76 
82 64 80 84 87 99 89 94 91 83 56 51 
52 83 70 81 85 51 77 69 94 57 83 66 
88 93 98 61 97 56 77 86 74 56 60 93 
95 94 95 67 69 60 77 69 63 74 60 92 
99 56 84 72 95 79 77 65 51 51 92 97 
81 97 66 79 51 89 55 81 70 51 84 91 
99 80 84 85 94 97 70 88 69 97 68 93 
89 94 79 71 74 57 60 67 77 79 68 80 
92 69 82 90 61 58 66 78 76 81 67 67 
54 76 99 52 53 72 61 74 73 83 95 64 
53 91 74 79 73 78 71 94 50 91 66 99 
95 96 56 55 94 80 75 71 95 64 50 81 
66 75 87 94 61 92 56 74 97 83 53 98 
54 87 64 93 91 94 97 57 66 76 70 50 
81 50 70 80 54 90 93 66 66 93 66 77 
73 81 64 95 54 79 71 66 98 93 98 90 
89 96 86 51 57 66 79 87 79 56 99 97 
80 76 87 69 59 76 55 57 57 53 79 92 
59 86 78 81 87 98 72 58 89 54 59 65 
95 50 62 77 70 95 85 85 55 78 86 68 
81 84 98 92 63 73 87 84 72 50 90 71 
93 73 73 67 97 78 86 64 90 79 61 56 
55 78 83 73 69 65 63 55 56 80 64 93 
51 68 54 50 86 96 57 56 68 70 71 63 
56 89 69 79 71 55 61 92 79 85 64 91 
68 98 92 77 85 67 88 92 78 92 56 60 
99 84 82 63 76 53 66 60 96 89 84 74 
64 90 81 59 54 51 54 99 91 66 61 72 
66 82 71 53 77 92 85 89 65 83 78 66 
63 77 99 64 62 61 56 58 62 85 51 88 
83 60 84 75 76 79 97 95 68 85 89 58 
97 66 71 92 50 64 96 83 58 95 85 55 
72 71 76 64 96 92 95 90 64 92 93 59 
98 98 54 73 85 52 90 69 96 97 98 91 
59 75 73 67 70 97 91 63 72 80 80 98 
71 79 70 63 86 64 86 56 86 56 62 78 
90 56 74 59 94 69 65 77 74 72 94 92 
94 81 98 75 99 72 66 59 66 50 76 88 
77 91 95 57 58 97 70 86 74 88 87 87 
74 61 83 68 64 51 83 65 78 83 67 94 
67 60 78 60 53 89 82 54 67 82 67 73 
81 66 74 93 76 95 57 57 83 75 78 66 
75 63 76 96 58 51 61 85 63 59 69 65 
51 92 68 76 71 95 97 68 97 84 51 68 
58 72 66 81 89 82 94 80 50 65 83 86 
66 68 80 52 60 74 72 60 62 87 89 75 
58 97 56 67 64 60 95 88 53 52 58 79 
81 71 69 76 86 68 96 55 68 50 64 92 
78 86 93 88 64 77 95 71 86 64 56 99 
56 99 79 57 58 55 91 61 55 58 90 91 
71 92 68 66 67 91 70 98 57 85 71 69 
55 58 71 76 89 96 99 70 93 72 77 82 
62 69 79 83 66 51 64 85 97 63 54 76 
73 51 63 81 99 89 91 99 96 53 94 94 
93 59 84 86 96 99 92 86 63 81 53 98 
83 94 58 63 99 90 93 84 77 67 67 91 
86 74 60 96 74 60 84 99 61 74 87 83 
71 55 78 57 54 52 67 68 93 59 70 88 
95 74 84 60 81 56 87 74 61 87 63 97 
57 93 99 69 71 64 91 63 64 69 98 95 
90 84 76 52 98 52 75 78 50 92 65 67 
67 64 51 53 73 60 55 89 99 82 69 59 
89 73 99 78 89 86 56 77 64 84 50 57 
64 65 55 58 50 62 70 66 62 93 85 65 
88 72 50 89 93 67 88 58 66 88 57 57 
82 62 57 75 80 60 69 61 66 61 81 50 
76 71 54 50 91 87 80 73 56 99 69 99 
50 81 92 68 66 74 79 80 59 61 90 98 

50 68 77 66 74 53 63 54 70 92 95 67 62 83 94 80 55 71 59 89 99 96 57 84 61 51 52 83 98 71 70 82 65 67 96 98 78 82 81 91 50 86 84 64 88 70 69 57 93 64 86 94 90 64 73 85 53 81 67 82 70 71 76 93 79 71 57 77 60 73 83 80 64 99 64 72 70 64 54 64 62 79 54 93 90 83 77 64 63 66 53 84 98 84 54 80 59 62 86 83 71 86 79 58 55 72 85 80 50 79 79 62 56 73 68 80 76 86 62 67 
71 86 79 58 55 72 85 80 50 79 79 62 56 73 68 80 76 86 62 67 87 56 67 85 88 53 70 64 86 79 54 84 62 59 66 84 62 54 88 93 68 77 77 64 92 96 97 58 70 52 83 91 89 78 68 86 50 61 63 85 93 59 79 75 97 72 60 97 80 97 59 98 74 60 97 58 80 91 82 88 86 72 56 96 75 93 54 90 56 56 66 53 74 53 81 71 96 82 73 98 81 71 72 98 63 52 75 68 84 85 82 68 67 88 51 60 60 58 58 96 
81 71 72 98 63 52 75 68 84 85 82 68 67 88 51 60 60 58 58 96 50 69 99 77 97 50 62 59 80 86 58 65 50 90 61 74 76 96 52 86 88 69 98 69 62 73 71 61 75 82 73 78 79 57 79 59 75 83 79 82 50 61 83 60 86 51 79 81 74 56 92 67 80 77 96 83 98 69 53 71 64 83 79 83 97 98 52 86 94 93 67 91 75 53 86 73 72 78 69 78 75 53 92 74 61 73 63 64 65 89 90 70 64 63 96 66 73 88 92 86 
75 53 92 74 61 73 63 64 65 89 90 70 64 63 96 66 73 88 92 86 84 67 99 81 97 66 63 83 50 73 52 92 92 69 86 55 61 73 93 70 68 80 66 63 83 59 96 85 95 77 72 62 69 63 72 67 95 64 65 91 96 70 80 74 71 94 94 96 54 68 54 77 98 89 83 64 50 72 96 67 61 58 64 67 94 50 94 90 80 56 80 79 52 65 88 94 82 86 84 51 92 90 52 53 70 58 84 71 89 65 51 79 67 75 74 74 67 88 82 61 
92 90 52 53 70 58 84 71 89 65 51 79 67 75 74 74 67 88 82 61 91 64 63 59 94 89 87 56 82 89 54 97 85 54 68 63 90 89 82 97 70 87 91 89 93 80 96 85 54 56 80 88 57 69 50 94 83 88 84 71 56 81 90 64 87 64 68 70 88 87 82 66 95 64 87 55 87 85 59 58 75 71 55 78 70 61 52 88 51 63 98 72 81 89 77 57 65 66 70 57 58 83 87 97 63 92 62 70 74 54 59 86 94 56 68 56 83 61 96 62 
58 83 87 97 63 92 62 70 74 54 59 86 94 56 68 56 83 61 96 62 81 58 98 72 52 81 68 89 61 89 74 75 54 69 94 85 50 56 65 72 69 95 76 92 89 94 53 57 63 74 96 54 54 89 86 66 70 89 58 67 62 96 69 58 63 98 96 60 62 78 90 86 57 86 99 51 83 66 92 56 98 61 57 92 77 64 76 70 83 87 66 54 74 77 54 70 95 58 99 95 71 59 83 81 53 67 87 91 62 53 58 94 92 88 91 82 85 88 57 50 
