6
40

97 62 54 50 73 80 
72 70 59 58 99 80 
74 82 67 90 95 70 
65 64 54 82 79 62 
94 54 54 58 97 82 
82 89 55 72 62 89 
68 83 92 66 55 84 
93 71 67 61 65 78 
92 59 93 68 56 65 
99 90 87 90 63 95 
81 77 79 87 63 55 
74 96 52 68 62 69 
83 79 86 52 56 64 
64 57 85 68 95 99 
81 55 62 71 75 88 
94 93 59 52 94 79 
55 52 93 81 84 65 
87 62 88 54 99 79 
53 88 77 81 64 86 
55 77 78 88 59 54 
62 98 79 59 76 83 
90 83 90 52 83 75 
58 86 84 54 96 58 
77 99 98 60 73 69 
55 99 94 91 83 70 
87 80 52 93 72 63 
88 99 96 65 90 80 
67 87 98 86 57 70 
82 89 50 53 58 77 
70 71 81 77 97 85 
75 71 79 52 87 69 
91 62 52 84 53 73 
64 78 67 51 85 91 
74 68 54 68 98 71 
70 62 78 76 72 78 
56 94 90 62 63 87 
54 58 72 70 79 89 
65 83 76 54 78 96 
64 97 88 72 54 99 
92 79 81 65 67 99 

53 79 67 84 73 81 82 60 59 67 70 62 75 68 93 95 91 51 82 75 53 51 60 87 65 57 79 75 63 93 57 67 59 91 73 92 83 75 70 53 
72 69 76 70 79 97 71 93 53 83 95 98 55 83 96 79 94 54 97 70 87 64 74 99 94 71 71 58 55 74 77 81 88 78 62 82 99 51 80 50 
73 73 64 76 89 54 58 76 94 58 98 78 56 66 75 67 55 56 58 96 50 59 87 73 59 57 73 71 93 90 74 96 82 96 50 73 86 80 96 99 
63 68 86 93 77 84 97 96 74 93 96 89 93 67 82 63 79 79 60 86 67 87 74 81 57 65 92 76 59 51 58 91 50 71 93 84 76 67 99 77 
94 55 50 54 84 50 59 99 82 54 90 54 59 95 55 97 98 80 62 88 60 79 65 73 66 90 79 66 84 93 79 98 66 51 58 75 55 90 60 65 
64 65 75 77 95 58 99 82 50 50 65 78 57 56 99 50 74 66 94 50 86 73 72 60 96 91 70 75 84 56 95 95 63 87 95 76 81 97 99 87 
65 50 76 84 59 50 91 73 91 71 56 80 51 63 55 75 74 98 92 56 50 58 52 59 62 53 98 85 52 78 94 59 80 69 63 75 64 71 56 73 
55 96 76 73 82 75 65 84 63 57 88 58 55 50 65 93 75 79 67 69 88 58 86 59 86 95 62 75 54 76 71 73 61 63 60 65 94 93 91 90 
51 84 73 57 54 50 91 70 66 67 58 75 67 51 97 93 78 82 90 95 89 78 69 71 90 57 91 71 82 85 73 97 51 93 62 98 76 96 76 58 
75 73 61 57 79 75 94 60 96 89 54 53 54 95 56 84 85 57 76 53 99 50 88 93 95 94 96 63 85 97 96 50 69 86 89 86 71 73 51 61 
