6
40

141 145 126 150 154 134 
171 173 146 134 136 149 
161 165 162 158 148 168 
139 132 138 171 149 130 
145 146 134 167 171 167 
161 151 153 125 163 128 
136 142 167 139 165 151 
162 143 158 142 166 148 
164 170 152 150 173 151 
136 167 142 165 140 144 
172 165 168 143 158 151 
167 146 161 151 157 166 
131 169 127 141 130 149 
171 139 134 137 169 142 
167 135 162 146 140 168 
150 157 174 152 164 157 
162 144 164 168 172 137 
167 147 149 125 156 163 
173 160 142 136 159 166 
149 141 131 140 155 142 
151 152 170 133 143 173 
167 167 151 168 144 145 
150 161 146 135 150 144 
133 141 134 160 131 151 
133 126 153 154 172 154 
130 129 162 156 151 146 
133 163 133 166 174 125 
135 164 147 139 126 162 
146 138 129 150 172 126 
149 169 149 170 152 131 
134 152 157 166 157 138 
156 126 165 145 159 151 
169 155 138 155 154 174 
153 168 135 137 163 143 
167 128 144 163 138 174 
127 127 140 135 173 148 
162 139 142 163 168 165 
167 128 130 154 132 160 
169 156 142 169 147 132 
158 157 126 173 170 155 

93 79 83 79 73 90 80 95 57 86 80 97 76 81 81 59 55 61 92 84 78 56 52 88 80 87 74 78 69 51 81 74 96 78 59 75 59 52 83 71 
92 84 69 51 68 75 97 54 63 77 84 80 88 93 79 74 79 77 50 99 90 71 50 85 76 57 56 93 73 86 89 59 86 63 51 82 88 98 81 88 
56 75 80 70 93 65 87 90 90 64 74 92 91 61 82 82 81 78 55 88 57 51 89 72 50 93 50 53 59 71 98 80 53 90 93 51 93 58 63 80 
72 66 82 94 89 95 80 68 82 88 91 68 51 61 50 63 79 85 85 91 61 87 52 95 58 91 75 82 99 90 91 85 77 80 81 64 52 72 82 74 
96 98 82 83 69 55 77 97 77 55 99 75 89 92 82 59 76 84 54 79 57 95 98 90 69 62 50 88 93 75 76 68 79 79 67 65 75 96 77 88 
82 51 64 83 87 62 85 75 81 97 67 82 71 73 57 58 84 92 92 92 55 77 90 98 68 89 62 84 72 96 77 71 64 83 67 50 96 52 93 95 
75 93 74 53 71 62 87 72 79 69 86 82 54 98 93 80 66 98 58 54 81 85 83 95 66 61 57 99 69 75 92 61 88 94 97 69 55 94 85 78 
70 86 99 72 50 86 99 87 92 84 83 68 51 55 96 67 58 52 53 54 90 58 65 86 54 89 55 73 99 64 98 70 52 94 77 88 86 55 94 53 
56 90 88 90 76 73 63 51 56 52 77 94 97 67 61 80 71 82 97 65 63 59 83 67 60 81 52 83 60 77 97 52 78 70 65 81 79 92 83 70 
89 90 74 65 70 59 79 52 83 58 83 55 74 86 50 81 98 91 67 85 64 74 57 56 53 52 92 54 87 66 92 95 77 81 73 99 58 85 86 86 
95 63 75 60 77 84 94 93 76 75 65 70 73 69 85 50 65 64 79 72 69 82 94 61 97 90 52 79 75 56 84 69 77 89 94 65 61 59 99 56 
68 82 60 76 74 50 62 99 74 51 82 99 73 77 73 58 99 73 94 65 85 57 66 97 94 54 85 57 77 57 58 52 53 91 63 53 61 71 50 94 
97 61 89 83 68 69 88 90 68 70 61 89 99 77 85 83 90 84 80 67 59 68 83 81 57 59 55 50 77 85 89 58 52 95 78 70 76 57 86 96 
87 76 97 60 98 75 68 82 74 91 59 73 83 76 60 84 63 97 78 98 82 87 97 54 50 88 58 72 59 58 51 73 83 59 86 94 70 50 75 54 
98 80 93 88 89 83 51 88 57 92 52 97 73 60 97 88 70 53 61 73 89 89 95 85 72 85 71 92 96 86 92 85 57 62 86 92 93 65 76 55 
61 87 63 54 88 90 61 64 58 58 63 69 96 79 55 85 69 79 63 82 85 90 55 56 97 93 62 83 66 70 66 62 75 59 75 54 84 82 78 51 
84 74 71 97 81 71 70 65 79 81 63 98 66 97 87 64 73 51 87 86 89 80 89 53 97 84 50 51 77 89 52 87 68 77 98 66 52 65 72 94 
