0,4,10,4,11,4,7,10,7,9,3,0
0,4,15,13,4,3,15,20,5,16,10,0
0,114,127,116,128,93,129,132,101,111,121,0
0,116,135,123,130,95,137,142,104,119,126,0
0,10,16,13,13,4,14,9,15,17,9,0
0,5.0,2.0,1.8571,6.5,2.0,1.75,0.9,5.0,2.125,1.8,0
0,12,20,40,43,91,61,96,63,67,65,0
0,4,8,6,8,8,4,2,6,6,8,0
0,0,8,7,7,6,2,3,7,4,9,0
0,4,0,5,2,7,7,6,8,6,5,0
0,10,10,0,6,2,2,5,3,8,3,0
0,7,3,8,0,4,3,7,2,5,3,0
0,10,8,7,10,0,7,5,5,3,6,0
0,8,8,5,8,3,0,8,5,8,9,0
0,9,4,4,10,8,6,0,5,6,9,0
0,3,3,4,7,9,3,3,0,3,9,0
0,3,4,8,7,4,8,7,7,0,10,0
0,3,5,7,2,7,9,4,4,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0
