2
60

65 97 
90 70 
97 84 
98 90 
93 56 
78 99 
98 71 
99 77 
66 73 
79 53 
85 66 
91 79 
77 88 
89 62 
83 73 
87 61 
91 60 
70 82 
59 94 
69 61 
56 60 
77 59 
53 89 
92 65 
78 57 
72 63 
68 80 
84 82 
80 66 
86 69 
50 67 
96 76 
86 69 
80 91 
56 89 
58 50 
79 94 
82 82 
79 58 
88 54 
71 66 
85 95 
68 58 
82 57 
96 91 
97 74 
85 91 
71 99 
99 94 
54 72 
70 70 
60 57 
60 83 
75 87 
63 55 
72 73 
95 63 
95 67 
77 94 
67 84 

95 66 54 65 78 81 74 68 93 79 86 72 75 97 51 62 94 71 52 88 81 97 77 51 76 66 52 62 99 77 71 67 65 68 62 72 69 80 97 99 87 56 97 79 74 68 98 68 84 90 97 51 80 76 81 90 85 84 60 51 
62 53 62 80 75 57 50 97 65 56 81 88 58 96 68 64 51 85 92 76 72 90 55 67 92 70 70 51 90 79 51 58 73 80 92 64 62 60 57 62 93 94 54 85 71 95 85 56 99 51 57 92 66 89 71 65 77 73 86 67 
66 89 60 93 91 93 71 68 91 94 99 82 57 53 58 97 61 73 79 50 90 97 56 87 73 90 67 71 64 65 94 81 84 97 93 75 83 58 80 92 80 50 51 53 79 53 93 88 72 78 57 72 93 77 61 68 95 51 69 60 
63 81 56 52 62 89 86 50 65 62 97 63 51 55 66 69 52 84 94 54 97 78 77 90 52 51 78 85 74 70 82 80 88 91 79 54 60 54 58 90 73 73 87 99 99 75 99 76 91 82 76 73 94 82 67 99 93 87 74 63 
57 83 93 72 92 71 72 87 73 77 56 89 50 98 57 68 72 51 89 73 51 76 95 89 82 91 56 66 76 59 63 87 66 58 99 76 74 82 83 85 78 80 52 57 59 61 58 66 51 66 58 94 56 66 78 67 89 63 55 52 
89 90 62 91 88 73 69 90 71 81 89 60 79 96 75 92 63 76 61 86 77 84 98 67 85 73 81 57 70 65 96 93 96 68 80 64 82 55 80 81 91 69 80 79 89 69 59 69 95 65 69 78 67 80 96 55 97 77 51 75 
86 62 77 60 71 59 78 69 53 83 79 75 66 50 99 97 99 66 60 70 82 77 51 83 71 79 52 79 77 62 68 68 71 70 90 80 53 55 58 88 67 58 81 53 58 74 93 52 68 97 59 74 76 92 63 99 88 65 73 84 
99 89 55 77 51 55 85 89 75 61 93 78 82 72 64 52 89 56 64 80 59 99 90 62 99 95 78 56 99 88 64 87 95 59 71 76 89 59 95 51 58 76 86 72 84 91 69 51 58 78 55 84 64 75 56 61 67 68 63 99 
88 98 70 76 88 91 94 68 55 54 61 75 89 72 91 98 94 64 76 70 58 80 80 75 55 69 70 78 83 54 85 61 77 65 78 57 90 75 97 88 90 59 57 73 74 55 57 75 94 71 67 68 68 78 61 99 54 56 78 79 
68 69 99 84 93 73 91 73 61 63 54 53 75 64 71 95 71 69 89 59 76 94 90 69 89 86 67 95 94 55 62 62 66 59 95 58 95 58 52 70 63 62 57 79 72 84 99 79 79 55 97 97 61 86 57 61 60 87 93 72 
50 77 83 91 96 99 51 84 98 93 55 65 70 66 75 81 94 94 98 90 67 76 91 76 65 83 66 69 96 95 82 75 56 77 67 82 76 88 97 53 58 72 90 52 83 70 63 59 78 62 81 83 79 64 65 56 94 83 57 56 
94 97 68 56 66 91 53 64 58 98 99 82 77 78 91 70 80 63 85 62 84 92 83 90 90 64 74 52 78 87 61 53 75 76 64 51 92 59 51 81 54 72 76 69 60 83 64 56 81 60 94 82 55 63 86 78 56 82 93 61 
69 69 96 64 54 54 82 90 61 62 74 74 66 85 61 98 98 55 50 87 58 52 99 89 70 88 76 80 82 60 89 60 74 75 68 92 94 72 81 97 86 96 52 98 78 55 83 79 54 60 59 67 66 71 81 63 62 90 83 71 
