100
20	2136	1740	16	78
33	756	2455	29	57
1	164	2284	33	45
27	549	2509	27	32
7	1875	2138	3	17
19	1068	1793	12	35
39	743	2139	40	6
14	1431	2217	17	17
43	2235	2329	56	18
29	1495	1663	1	53
34	158	2099	19	6
8	752	1592	100	86
20	721	1648	95	18
6	492	2351	74	80
31	185	1604	3	46
9	1398	1877	62	70
40	2394	1865	65	79
8	1783	2001	29	9
39	347	1746	52	51
28	1722	2436	18	25
17	264	2480	38	90
50	2597	2372	98	61
30	1848	1606	47	70
40	2076	2319	9	34
30	129	2284	8	62
16	201	2033	28	80
37	1027	1917	99	80
31	896	1838	100	3
18	964	1987	98	34
46	1059	2122	100	33
6	1127	2445	37	81
2	1229	2041	78	65
33	1458	1593	51	70
48	1213	1633	12	15
47	532	2517	23	99
14	1593	2094	58	74
42	1320	1974	40	57
38	669	2129	96	47
31	1913	2586	39	83
41	2503	1899	81	13
21	2590	2251	59	7
49	2090	1983	99	72
41	466	1619	93	8
21	2557	1571	9	90
11	483	2412	30	59
23	1641	2136	0	58
23	906	1805	17	78
3	2353	1961	35	35
14	389	1742	99	76
16	760	2433	2	0
38	471	1749	72	14
49	571	2039	71	4
45	875	2486	35	45
45	2230	2146	31	18
4	691	2232	39	69
32	504	2559	56	82
31	219	2000	35	80
42	1032	2593	39	55
8	845	2548	26	17
41	915	2392	55	71
13	339	1645	19	17
50	1341	2425	3	81
44	1891	2072	69	60
24	2564	2193	59	5
43	251	2081	33	21
25	2141	2338	25	89
22	2536	1830	22	22
44	1679	1782	81	42
37	2606	1693	48	80
33	1151	2454	31	99
13	552	1885	73	54
25	1719	1716	60	62
21	1925	2350	60	4
8	1359	1801	75	55
1	1920	1857	26	31
3	1607	1718	61	72
36	1596	2600	89	34
40	1874	1975	31	26
32	1221	2494	16	54
29	2269	2246	74	2
35	2105	2384	80	31
37	1843	2428	4	6
14	1252	2010	1	48
13	96	1877	13	11
32	2346	2506	4	84
15	1763	2040	19	14
20	1252	1840	65	64
31	1325	2019	17	81
4	925	2024	59	5
7	2172	1735	29	96
32	829	1933	14	76
20	2428	2198	52	16
43	85	1906	63	33
5	2341	1866	10	18
48	1267	2317	85	85
28	1879	1630	6	49
1	1785	2419	63	30
14	1581	1689	66	77
25	1602	2581	32	16
18	1461	1835	94	37
