
4
11


84 89 95 89 
57 94 66 59 
96 71 87 92 
66 88 78 57 
88 55 80 50 
88 79 86 89 
57 89 71 54 
88 55 65 50 
60 58 66 54 
71 64 74 94 
84 83 57 64 


67 69 64 82 67 68 81 81 64 63 59 
90 71 63 59 73 85 71 51 58 62 54 
77 79 73 59 78 66 83 75 77 92 88 
83 92 61 67 85 66 57 89 74 66 90 
56 72 76 52 50 60 68 54 62 88 97 
51 95 84 56 60 58 81 96 76 73 97 
86 75 52 87 84 88 50 62 58 58 51 
87 83 53 74 54 79 69 76 63 75 97 
92 83 75 88 92 53 70 89 62 71 61 
72 93 51 91 74 78 75 53 81 59 96 
96 58 55 51 87 66 91 72 61 66 87 

96 63 92 64 75 67 59 50 75 69 71 
86 99 90 52 83 52 86 89 74 71 71 
61 91 54 76 62 78 57 82 66 87 58 
95 88 61 83 87 60 66 69 94 62 76 
55 62 70 59 83 77 77 65 91 52 70 
85 56 86 84 56 89 75 96 69 73 88 
71 66 93 65 68 77 96 99 70 74 58 
80 69 81 85 91 94 85 73 73 52 99 
95 98 96 84 64 98 92 87 78 72 94 
76 81 59 56 94 93 72 73 75 73 76 
75 80 86 68 76 77 59 73 84 82 95 

84 62 65 72 55 51 97 80 72 62 66 
93 64 65 90 70 61 78 98 90 69 55 
58 96 58 81 89 67 80 91 99 92 69 
83 70 59 56 98 79 62 62 89 93 89 
87 89 50 66 50 65 58 96 79 89 59 
86 96 94 54 84 98 87 82 66 73 80 
89 57 61 70 67 76 70 63 99 64 71 
90 77 84 78 51 91 50 65 56 62 77 
76 63 78 96 61 68 74 67 98 94 90 
77 95 90 68 66 74 64 71 71 75 79 
87 54 83 79 91 74 51 76 90 68 88 

58 50 62 67 51 50 74 66 82 64 63 
98 97 75 67 84 95 62 96 63 78 78 
81 51 57 73 97 65 91 56 84 95 78 
98 57 99 78 70 89 52 61 91 67 94 
55 98 89 79 57 70 66 57 69 52 62 
94 76 60 87 98 55 74 76 91 57 54 
88 67 72 70 79 90 72 74 97 66 78 
54 86 86 79 99 72 54 50 66 67 81 
80 87 96 50 64 84 52 99 79 86 74 
59 77 86 78 96 57 86 79 99 86 81 
88 76 55 93 70 82 58 52 53 68 74 


