
4
7


59 68 76 60 
68 73 52 73 
84 77 85 59 
57 91 98 70 
95 56 68 66 
52 93 86 95 
84 89 62 98 


59 60 65 89 89 57 89 
52 59 86 90 56 73 52 
73 94 68 99 97 67 95 
75 98 53 62 97 76 75 
55 85 88 51 88 94 76 
72 50 77 79 92 86 63 
93 81 76 82 95 98 50 

68 98 97 99 99 96 72 
62 96 64 64 69 91 83 
58 85 51 77 55 64 73 
79 83 79 76 51 50 92 
75 60 69 73 88 90 93 
77 64 73 74 68 73 93 
78 55 52 51 85 56 62 

52 69 72 78 96 53 73 
72 93 93 51 95 65 78 
94 72 70 76 73 87 90 
77 86 57 64 57 92 74 
75 77 86 88 79 67 84 
99 64 76 60 89 97 60 
51 93 96 71 61 63 75 

79 99 55 83 72 89 82 
91 63 96 51 81 72 66 
74 81 54 68 81 95 73 
94 77 77 83 84 72 50 
99 83 63 71 87 88 83 
67 63 53 53 70 69 98 
82 92 84 81 59 58 98 


