
4
7


90 75 82 76 
78 70 89 97 
55 59 52 56 
53 94 92 90 
64 83 73 58 
86 71 95 71 
57 62 66 61 


63 74 51 79 97 58 65 
97 77 50 57 56 86 66 
69 91 88 62 73 88 83 
50 88 55 96 96 95 73 
84 87 72 85 56 96 51 
70 84 71 80 66 74 84 
97 63 93 77 61 98 62 

82 69 82 80 89 92 75 
96 71 84 97 63 74 81 
62 82 93 92 89 82 53 
50 67 92 75 89 74 87 
59 65 66 64 72 54 69 
56 70 93 79 87 68 58 
96 52 90 68 93 68 65 

83 96 83 62 80 74 64 
53 69 51 92 54 51 63 
90 75 53 77 99 87 65 
77 67 75 60 77 83 85 
77 54 74 56 96 88 64 
82 79 77 88 59 99 75 
54 97 81 58 97 66 71 

53 98 81 56 59 89 71 
94 51 89 59 87 80 73 
78 79 91 85 85 65 55 
82 57 96 50 84 63 94 
51 66 85 66 83 72 68 
56 57 92 86 78 90 94 
66 71 53 63 62 75 59 


