
2
8


76 76 
91 53 
99 81 
99 96 
90 74 
75 79 
82 54 
96 62 


63 58 92 73 86 89 64 51 
93 89 50 83 61 54 87 70 
75 50 76 67 94 82 85 72 
67 74 57 81 70 84 50 90 
55 97 52 84 83 52 88 81 
97 70 82 73 52 86 61 76 
59 81 94 91 75 65 81 90 
88 66 99 97 87 73 75 86 

77 50 56 65 82 53 50 73 
70 86 96 82 76 91 73 88 
55 65 74 87 94 54 63 93 
68 81 71 81 58 96 69 83 
90 72 85 79 53 77 99 91 
80 57 73 50 69 73 86 56 
97 99 62 76 89 61 58 80 
81 82 53 68 67 90 83 89 


