80
40	2107	923	38	84
27	1724	1983	4	33
44	553	533	73	65
2	802	2178	67	96
2	2024	2022	16	11
45	640	1959	48	14
4	719	855	90	4
9	1052	1524	3	76
46	1706	575	43	46
17	475	845	39	9
10	1950	2675	3	8
36	2061	1112	64	40
30	2077	2794	22	83
3	915	1272	37	41
24	1413	1623	29	32
49	2047	877	19	78
19	49	2493	80	39
24	61	831	23	62
21	1429	1260	6	58
24	342	2026	64	1
46	389	2115	68	61
13	1979	1889	7	47
38	1929	459	100	92
2	623	2830	20	48
2	1696	2921	64	16
18	524	1776	22	97
24	1526	416	99	67
35	1212	2829	33	81
45	1790	783	69	100
45	1987	2595	25	35
41	757	442	16	38
38	462	1435	74	89
42	957	1607	9	29
18	289	1413	1	14
13	1001	2170	94	89
39	2153	2130	36	84
24	862	3104	39	51
20	1789	2874	57	9
27	1243	2547	95	23
28	1471	2661	43	3
33	1315	1804	34	33
47	477	979	26	20
34	1312	838	9	76
7	1185	2042	39	11
27	1353	2867	97	70
7	620	2914	67	73
43	800	2841	51	1
42	1940	1963	96	96
22	316	1858	53	80
23	590	2414	63	16
31	143	2652	60	82
9	1181	2577	7	68
49	1082	2974	56	7
28	408	796	21	27
34	1695	898	0	24
50	698	1104	97	67
2	362	817	82	22
18	670	2749	77	5
1	29	525	62	60
16	1239	1642	7	56
36	562	1422	32	18
2	1466	914	86	77
44	263	2598	59	46
23	1426	2549	11	22
20	79	1231	35	14
1	1300	2521	33	92
38	1889	2091	30	64
48	997	650	3	80
34	847	2514	41	55
49	329	2752	26	25
20	2005	506	41	19
31	1876	1051	5	65
21	791	747	29	9
42	1442	2967	99	78
39	709	1666	81	45
25	631	1716	62	40
36	1373	2844	100	71
40	547	889	7	75
6	21	1904	64	98
44	336	477	45	96
