Order ID	Pi	di	wi	accepted	devery	delayed	Profit
0	 400.0	8186.0	   1.5	1	6043.0	0	400.000000
1	 265.0	5386.0	   1.0	1	4521.0	0	265.000000
2	 158.0	1234.0	   0.8	1	1209.0	0	158.000000
3	 462.0	6352.0	   0.6	1	3947.0	0	462.000000
4	 327.0	 531.0	   0.9	1	 474.0	0	327.000000
5	 472.0	7461.0	   0.8	1	6576.0	0	472.000000
6	 365.0	5178.0	   1.0	1	4439.0	0	365.000000
7	 437.0	7318.0	   0.5	1	7213.0	0	437.000000
8	 143.0	9558.0	   0.8	1	7260.0	0	143.000000
9	 497.0	3086.0	   0.5	1	2534.0	0	497.000000
10	 113.0	4560.0	   1.3	1	4006.0	0	113.000000
11	 363.0	7450.0	   1.0	1	4410.0	0	363.000000
12	 306.0	4013.0	   1.2	1	2197.0	0	306.000000
13	 322.0	8567.0	   0.7	1	7430.0	0	322.000000
14	  98.0	3625.0	   1.3	1	2971.0	0	98.000000
15	 364.0	 532.0	   1.4	1	 506.0	0	364.000000
16	 183.0	8614.0	   1.5	1	8538.0	0	183.000000
17	  33.0	7816.0	   0.6	1	5197.0	0	33.000000
18	 277.0	6124.0	   0.6	1	4879.0	0	277.000000
19	 444.0	7349.0	   0.6	1	6233.0	0	444.000000
20	 467.0	5058.0	   0.9	1	4108.0	0	467.000000
21	 446.0	7425.0	   0.6	1	6833.0	0	446.000000
22	 247.0	5505.0	   1.0	1	5037.0	0	247.000000
23	 473.0	8735.0	   1.5	1	8240.0	0	473.000000
24	 395.0	8752.0	   1.4	1	8350.0	0	395.000000
25	  13.0	1037.0	   0.8	0
26	 204.0	5228.0	   1.3	1	4135.0	0	204.000000
27	 218.0	8132.0	   1.3	1	7374.0	0	218.000000
28	 159.0	 608.0	   1.2	1	 373.0	0	159.000000
29	 103.0	2845.0	   1.1	1	2483.0	0	103.000000
30	  46.0	7400.0	   0.9	1	7289.0	0	46.000000
31	 164.0	6792.0	   0.8	1	6306.0	0	164.000000
32	 210.0	3173.0	   0.9	1	2841.0	0	210.000000
33	  32.0	7670.0	   0.9	1	7005.0	0	32.000000
34	 411.0	5258.0	   1.3	1	4816.0	0	411.000000
35	  90.0	7925.0	   0.9	1	7710.0	0	90.000000
36	 348.0	 932.0	   0.8	1	 513.0	0	348.000000
37	 446.0	6728.0	   0.7	1	4732.0	0	446.000000
38	 194.0	9960.0	   0.8	1	8030.0	0	194.000000
39	 155.0	7153.0	   1.5	1	4617.0	0	155.000000
40	 306.0	4307.0	   1.4	1	3457.0	0	306.000000
41	 414.0	8768.0	   0.9	1	7572.0	0	414.000000
42	 341.0	3716.0	   0.5	1	3204.0	0	341.000000
43	 465.0	3581.0	   1.4	1	2101.0	0	465.000000
44	 210.0	8439.0	   0.7	1	7194.0	0	210.000000
45	 340.0	 941.0	   0.9	1	 796.0	0	340.000000
46	 473.0	3447.0	   1.2	1	2357.0	0	473.000000
47	 362.0	9359.0	   0.7	1	8443.0	0	362.000000
48	 118.0	2774.0	   1.3	1	2738.0	0	118.000000
49	  59.0	4098.0	   0.8	1	3376.0	0	59.000000
50	 130.0	4031.0	   1.2	1	3309.0	0	130.000000
51	 415.0	10015.0	   1.0	1	8849.0	0	415.000000
52	  45.0	8037.0	   0.8	1	7733.0	0	45.000000
53	 226.0	3102.0	   0.5	1	2675.0	0	226.000000
54	 178.0	5809.0	   1.4	1	5730.0	0	178.000000
55	 353.0	7213.0	   1.1	1	6716.0	0	353.000000
56	 151.0	9625.0	   1.3	1	7381.0	0	151.000000
57	 344.0	9379.0	   0.7	1	8946.0	0	344.000000
58	 193.0	8154.0	   1.1	1	7934.0	0	193.000000
59	 415.0	3951.0	   1.2	1	3119.0	0	415.000000
60	   4.0	10004.0	   0.8	1	9286.0	0	4.000000
61	  64.0	5522.0	   0.7	1	5412.0	0	64.000000
62	 351.0	9793.0	   1.5	1	8681.0	0	351.000000
63	 363.0	2352.0	   0.7	1	1599.0	0	363.000000
64	 113.0	7616.0	   1.0	1	3772.0	0	113.000000
65	  92.0	8677.0	   1.4	1	6489.0	0	92.000000
66	 123.0	 176.0	   1.4	0
67	 136.0	7323.0	   0.7	1	7283.0	0	136.000000
68	 122.0	1913.0	   0.6	1	1380.0	0	122.000000
69	 329.0	2547.0	   1.0	1	2356.0	0	329.000000
