Order ID	Pi	di	wi	accepted	devery	delayed	Profit
0	 230.0	7279.0	   1.1	1	7174.0	0	230.000000
1	 378.0	7564.0	   0.9	1	4990.0	0	378.000000
2	 305.0	4834.0	   1.1	1	4735.0	0	305.000000
3	 150.0	4636.0	   1.0	1	4565.0	0	150.000000
4	 349.0	6716.0	   0.9	1	5133.0	0	349.000000
5	 295.0	1687.0	   0.7	1	1590.0	0	295.000000
6	   5.0	8676.0	   1.1	1	7930.0	0	5.000000
7	 121.0	1180.0	   0.6	1	 936.0	0	121.000000
8	 411.0	5892.0	   1.2	1	4000.0	0	411.000000
9	  67.0	6173.0	   0.6	1	6030.0	0	67.000000
10	  98.0	2855.0	   1.2	1	2364.0	0	98.000000
11	 496.0	8512.0	   1.0	1	8271.0	0	496.000000
12	 282.0	7060.0	   1.4	1	6784.0	0	282.000000
13	 325.0	2555.0	   0.9	1	2263.0	0	325.000000
14	 135.0	1571.0	   0.5	1	 113.0	0	135.000000
15	 486.0	6571.0	   0.6	1	6389.0	0	486.000000
16	 386.0	2524.0	   0.9	1	1866.0	0	386.000000
17	 326.0	8179.0	   0.6	1	5591.0	0	326.000000
18	 429.0	1454.0	   1.2	1	1012.0	0	429.000000
19	 209.0	2121.0	   1.2	1	2007.0	0	209.000000
20	 260.0	7930.0	   1.1	1	7188.0	0	260.000000
21	 278.0	3472.0	   1.2	1	3433.0	0	278.000000
22	 445.0	9232.0	   1.5	1	3820.0	0	445.000000
23	 254.0	5677.0	   0.7	1	4336.0	0	254.000000
24	 164.0	9914.0	   1.0	1	9311.0	0	164.000000
25	 197.0	9386.0	   0.7	1	8634.0	0	197.000000
26	  28.0	2146.0	   1.2	0
27	  42.0	9820.0	   1.4	1	9020.0	0	42.000000
28	 133.0	9683.0	   0.6	1	8247.0	0	133.000000
29	 398.0	3338.0	   1.1	1	2960.0	0	398.000000
30	  23.0	5311.0	   0.9	1	2304.0	0	23.000000
31	 217.0	8289.0	   0.8	1	4068.0	0	217.000000
32	 169.0	 812.0	   1.2	0
33	 471.0	2614.0	   0.6	1	 681.0	0	471.000000
34	  74.0	3802.0	   1.0	1	3149.0	0	74.000000
35	  62.0	8124.0	   0.6	1	6945.0	0	62.000000
36	 476.0	1336.0	   0.7	1	1255.0	0	476.000000
37	 373.0	3574.0	   1.4	1	2871.0	0	373.000000
38	 159.0	6924.0	   1.5	1	5937.0	0	159.000000
39	 152.0	2520.0	   1.4	1	1923.0	0	152.000000
40	 431.0	9160.0	   0.7	1	8720.0	0	431.000000
41	 468.0	3118.0	   1.2	1	2013.0	0	468.000000
42	 153.0	2935.0	   1.3	1	2083.0	0	153.000000
43	 259.0	 140.0	   0.6	1	 126.0	0	259.000000
44	 185.0	 884.0	   0.9	1	 818.0	0	185.000000
45	 148.0	5996.0	   1.4	1	4905.0	0	148.000000
46	 462.0	8945.0	   1.1	1	7253.0	0	462.000000
47	 209.0	6821.0	   0.8	1	5242.0	0	209.000000
48	  95.0	7049.0	   0.6	1	5771.0	0	95.000000
49	 379.0	8675.0	   1.4	1	8549.0	0	379.000000
50	  33.0	5505.0	   0.8	1	5369.0	0	33.000000
51	 211.0	4158.0	   1.2	1	3735.0	0	211.000000
52	 389.0	4655.0	   1.1	1	4460.0	0	389.000000
