0,49,153,61,54,99,77,142,95,172,161,71,60,11,3,96,216,137,14,156,18,55,6,29,53,99,0
0,18,9,13,8,20,8,8,5,17,7,11,20,14,14,5,16,5,11,6,18,7,4,2,11,3,0
0,77,205,83,75,151,95,160,144,232,219,127,90,65,33,114,250,152,44,195,89,92,48,41,74,173,0
0,83,208,87,78,157,98,163,146,238,222,131,96,70,38,116,255,154,48,197,95,95,50,42,78,174,0
0,4,2,19,6,14,2,15,19,18,5,13,12,5,13,17,5,6,8,2,17,20,8,4,14,10,0
0,0.66667,0.66667,4.75,2.0,2.3333,0.66667,5.0,9.5,3.0,1.6667,3.25,2.0,1.0,2.6,8.5,1.0,3.0,2.0,1.0,2.8333,6.6667,4.0,4.0,3.5,10.0,0
0,53,10,90,73,92,87,86,24,90,36,24,37,77,10,13,18,11,45,87,32,85,75,62,85,99,0
0,2,5,3,2,10,7,7,3,8,6,9,9,5,8,5,6,9,5,5,2,7,5,10,3,8,0
0,0,4,3,10,10,9,4,4,10,6,10,3,9,5,4,9,9,6,8,3,2,7,2,5,3,0
0,8,0,3,3,3,7,10,8,2,5,6,3,10,7,2,6,6,9,3,9,5,10,10,9,9,0
0,4,2,0,6,3,5,7,2,7,6,4,10,4,5,9,9,3,5,4,6,4,10,4,5,6,0
0,2,8,3,0,9,8,5,9,5,7,7,8,4,8,8,8,7,6,4,4,5,6,5,7,9,0
0,8,4,8,7,0,6,9,9,2,2,5,4,6,5,2,9,2,4,4,9,8,3,9,4,4,0
0,8,3,2,6,10,0,4,3,2,8,6,4,4,9,3,2,5,2,9,6,2,4,4,3,7,0
0,2,6,3,5,10,4,0,9,4,5,2,6,5,6,6,4,8,2,9,5,3,5,6,10,7,0
0,7,7,4,9,8,10,6,0,8,9,3,2,9,7,8,8,2,3,10,6,9,8,2,3,8,0
0,2,8,9,6,5,8,6,4,0,6,5,3,8,8,2,10,9,7,8,4,9,8,2,10,3,0
0,8,4,7,4,3,9,7,3,10,0,5,4,8,5,4,10,3,7,10,7,3,8,4,9,2,0
0,9,9,6,7,6,8,7,9,7,6,0,7,10,4,5,8,9,8,8,7,2,8,4,2,8,0
0,10,4,9,3,7,7,7,9,10,6,4,0,9,10,7,2,10,4,7,10,10,7,9,6,8,0
0,4,4,5,2,9,7,10,8,5,10,4,10,0,4,6,2,4,8,5,10,10,8,5,5,8,0
0,4,6,5,8,6,7,9,7,10,9,5,5,3,0,10,7,2,10,7,10,9,4,8,7,3,0
0,7,5,5,5,6,4,2,9,7,5,8,9,3,7,0,6,9,7,6,4,6,9,2,5,6,0
0,10,2,6,8,9,2,7,5,6,5,10,10,10,6,3,0,8,7,8,4,7,7,2,6,4,0
0,10,10,8,2,4,5,8,10,8,8,8,7,7,3,6,10,0,3,5,8,9,3,10,4,5,0
0,5,7,4,8,5,6,3,4,10,10,3,3,3,5,3,7,2,0,5,7,4,5,10,8,9,0
0,2,6,9,4,6,9,5,3,10,4,2,3,2,5,6,9,6,2,0,3,2,7,3,5,4,0
0,5,10,6,10,5,3,5,7,4,5,10,3,3,3,4,4,6,9,3,0,5,4,9,7,5,0
0,4,4,6,10,6,2,4,3,3,8,7,9,8,7,7,7,2,9,8,2,0,6,9,2,8,0
0,7,7,3,3,7,2,8,10,8,5,9,10,4,8,9,3,7,3,3,7,9,0,7,5,10,0
0,2,10,8,4,7,9,9,8,9,8,7,4,2,8,4,3,6,9,10,3,9,7,0,2,2,0
0,6,7,6,7,3,2,4,9,5,7,3,3,8,10,6,6,6,5,10,3,4,3,2,0,3,0
0,7,10,4,10,5,10,2,3,10,4,7,5,8,5,5,8,4,6,8,4,6,3,8,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0
