200	10
428	4417	1.2
347	1298	1.0
235	6098	0.7
226	5072	0.9
394	7489	1.2
178	290	0.8
220	7550	0.8
471	6241	0.9
67	2436	0.9
245	2874	1.1
133	2505	0.5
255	8180	0.7
44	3118	0.5
114	7599	1.4
486	4920	1.2
474	1125	0.8
431	1496	1.2
186	1967	0.5
305	4541	1.1
126	1789	1.4
125	4887	0.6
119	3111	1.3
487	3754	1.2
221	4530	0.5
136	3031	1.1
282	3130	1.3
3	7720	1.1
486	854	0.6
363	5392	0.5
336	479	0.9
476	1146	1.2
100	7137	1.1
497	7726	0.8
306	593	0.9
460	8017	0.7
452	2651	1.0
487	3163	0.9
264	7542	0.8
436	7235	0.9
141	3389	0.7
215	6039	1.0
463	7497	1.2
347	2097	1.1
219	5771	1.0
329	2104	0.8
58	7793	1.0
201	8157	1.1
401	516	1.4
386	3367	1.3
236	6385	1.3
48	5396	1.4
229	775	1.4
237	3586	1.2
410	5882	0.9
379	5653	0.6
421	7606	0.9
321	4264	1.4
289	5735	1.5
238	4047	1.4
403	8084	1.1
297	7985	1.1
479	2785	0.9
96	7321	1.4
234	4729	0.6
174	6107	1.3
433	944	0.7
287	264	1.4
437	3537	1.2
373	481	0.9
393	1407	0.6
48	1123	0.8
443	1312	1.1
386	2211	0.7
159	7769	1.0
463	8369	0.6
158	379	1.2
455	5097	0.7
308	650	1.3
362	6536	1.2
362	7361	0.8
442	2803	1.0
223	207	1.4
457	1474	0.8
446	2119	0.6
319	5388	1.0
29	3119	1.4
281	762	1.1
213	1534	1.5
438	6631	1.5
309	4837	1.3
214	2007	1.3
216	2622	0.9
9	589	1.5
200	2885	1.2
147	5577	1.1
393	5267	1.5
463	7237	1.4
238	7200	1.3
83	5296	0.7
459	8261	1.1
114	4004	1.4
47	3695	1.4
211	7242	1.5
300	2543	0.7
292	271	1.1
251	6240	0.9
272	4994	1.4
356	6513	1.5
376	446	1.0
194	435	1.2
239	3450	1.2
219	7721	1.2
391	261	0.8
351	6786	1.0
124	2765	0.9
442	7009	1.1
97	5535	0.6
29	7839	1.4
451	939	0.9
276	4204	1.3
236	8028	0.9
207	491	0.9
197	2206	1.4
342	3833	1.3
366	36	0.9
148	2049	0.5
250	5739	1.0
450	5967	0.7
446	4353	1.5
120	2418	0.8
163	3833	1.0
66	1867	0.6
97	8051	0.8
347	1829	0.7
283	6083	0.8
150	6727	1.1
221	3496	1.5
50	470	1.1
16	1109	1.1
362	6395	1.1
376	8263	1.4
183	3823	0.8
304	6757	1.1
354	1569	0.5
104	6962	1.4
216	2486	0.5
93	2720	0.8
144	1146	1.3
122	5829	1.3
100	7070	1.3
348	5708	0.8
308	5417	0.6
45	317	1.3
240	4567	1.2
408	5511	0.8
464	7195	0.6
68	4518	1.2
112	758	1.3
227	5296	1.3
292	1159	1.1
283	1458	1.1
370	6668	1.1
301	2060	1.1
68	4312	0.7
41	5107	0.9
53	7642	1.0
328	7800	1.0
448	2222	0.9
42	729	0.8
258	8235	0.9
393	6112	1.5
493	359	0.5
67	4824	0.6
385	6702	1.2
231	3575	1.1
161	2791	1.4
32	2887	0.9
303	683	1.0
361	3455	1.4
246	5141	1.2
277	6234	0.5
73	3853	1.5
137	2252	0.5
19	487	0.9
270	2920	1.0
52	7142	1.5
20	4652	1.5
30	1098	0.5
