200	3
184	6249	1.5
425	233	1.5
129	2406	0.6
160	2042	0.5
452	7631	0.9
199	4630	1.5
262	3997	1.0
487	4114	0.7
137	2939	1.2
484	5444	0.6
190	6873	0.6
499	8054	0.9
447	7083	1.4
185	1894	1.1
89	3423	1.0
162	413	0.9
43	4629	1.3
299	6828	0.8
391	567	1.4
235	4480	0.6
468	6687	1.4
440	1612	1.4
8	4687	0.6
369	4977	1.3
296	6457	1.5
326	4895	0.9
76	993	0.9
447	6816	1.2
432	1636	0.8
328	245	0.6
286	147	0.5
379	7399	0.8
221	4298	1.0
459	7618	1.4
78	1677	0.7
369	7064	0.8
303	3451	0.6
400	3033	1.4
252	3839	1.2
352	7691	1.1
382	3871	0.9
426	3894	1.3
308	6900	1.2
121	2239	0.8
316	874	0.7
337	8113	0.5
30	1461	0.7
348	2688	1.5
223	6493	1.1
262	7020	0.8
149	2480	1.3
4	3604	1.2
11	2969	1.0
439	3813	1.4
95	6923	1.1
403	1865	0.8
4	3975	0.5
333	5820	0.8
166	662	1.0
355	2253	0.8
90	2049	1.3
194	3519	1.2
138	6243	0.9
168	7647	1.4
61	7011	0.8
431	2041	0.6
126	4808	0.8
472	4732	0.6
70	2565	0.8
395	4405	0.7
242	8005	0.7
113	785	0.7
371	1497	1.5
430	4104	0.8
334	7594	1.1
91	656	1.1
267	2303	1.1
327	8083	0.5
375	5523	1.2
285	3885	1.4
438	3314	1.1
498	1571	1.0
277	6452	1.2
435	356	1.1
74	7064	1.2
19	5726	0.6
191	4973	1.0
138	3861	0.9
478	439	0.6
379	1522	0.8
86	3797	1.4
319	4525	0.7
67	5770	1.5
49	747	1.3
147	5824	1.2
423	1254	1.4
436	1635	1.4
235	5060	1.3
304	141	0.5
320	3299	0.5
416	3417	1.0
419	4074	1.1
425	6643	0.7
136	7792	1.1
293	4950	1.5
50	5113	0.7
474	4465	0.7
13	4771	1.2
107	6325	0.8
492	2019	1.0
182	3791	1.4
31	299	1.3
206	7841	0.6
96	5569	1.0
31	5010	1.2
261	3624	0.6
481	287	1.5
489	2299	0.7
93	7382	1.0
201	1488	0.6
445	2064	1.5
464	4870	1.1
16	6034	0.8
74	3553	1.4
85	2806	0.8
49	3940	1.4
223	1411	1.0
212	3419	1.0
154	2061	1.0
153	932	1.4
93	628	0.8
30	4165	1.4
330	2674	1.3
353	4725	1.4
200	2336	0.7
305	1599	0.7
413	1287	1.4
228	1139	1.0
385	1398	1.1
258	1077	1.0
471	6120	1.2
309	5609	0.8
211	5002	1.0
163	1674	1.2
126	2627	1.1
33	4922	1.0
120	7178	1.4
481	7324	0.9
389	2779	0.5
299	3957	0.6
298	2651	1.4
233	6837	1.5
