100	3
118	1475	1.4
340	597	1.2
220	1970	1.3
81	102	1.2
119	899	1.1
260	4008	0.5
305	1410	0.7
139	2240	1.0
401	62	1.5
62	2267	0.8
460	783	0.8
70	529	0.5
129	2457	1.4
50	25	1.0
235	3615	1.1
301	1177	1.1
182	3528	0.7
128	2484	0.9
135	3619	0.9
338	1295	1.0
461	3388	1.2
64	81	1.1
272	3317	0.5
133	3527	0.6
343	4033	1.1
327	1036	1.1
97	879	0.7
416	3274	1.2
449	189	1.3
352	923	1.5
4	651	0.6
487	3532	1.1
156	3829	1.0
351	2941	1.1
350	1945	1.0
191	3101	0.8
16	277	1.3
17	2751	0.8
192	952	0.6
70	812	0.7
10	3646	0.7
240	2142	0.7
289	1564	1.3
418	2750	1.5
305	2396	0.9
189	2439	1.2
161	4048	0.8
236	931	0.9
443	3973	0.8
375	741	1.3
254	300	0.7
300	1083	0.9
121	2271	1.2
48	1695	1.3
11	2321	1.3
350	2048	1.3
497	2719	1.0
41	1965	1.1
392	789	0.6
122	336	1.5
186	2890	0.8
420	1318	1.0
140	3986	0.6
201	638	1.0
374	1637	0.5
48	1588	0.7
341	375	1.5
454	2820	1.5
210	580	0.8
426	2142	0.6
76	3338	1.2
488	3895	1.2
417	898	1.3
417	2527	0.8
212	762	0.8
416	1957	0.8
271	448	1.2
207	330	1.1
123	951	0.9
364	3517	1.0
393	2423	1.5
129	3177	0.8
399	1678	1.2
2	610	1.2
6	3480	0.8
193	1702	0.8
324	3787	0.8
44	1508	0.7
93	1374	1.2
436	675	0.8
191	3312	1.1
472	3149	1.0
119	2416	1.0
455	1580	1.0
227	1105	1.2
473	1463	1.1
246	2866	1.3
232	864	1.1
198	1019	0.8
299	1854	0.9
32	69	40
98	3	20
7	65	95
74	59	12
33	52	48
65	48	98
0	27	19
43	72	36
85	88	72
95	96	50
63	83	38
21	89	96
4	55	34
77	38	52
61	5	35
63	43	26
28	59	31
53	23	11
65	46	41
11	85	2
4	90	33
43	42	46
19	49	42
71	34	19
31	54	74
20	10	61
77	78	11
87	25	96
38	54	14
51	14	69
44	38	26
4	33	34
92	24	13
33	12	10
2	36	71
16	10	45
10	6	87
38	69	100
51	86	3
78	22	72
72	85	96
94	10	74
58	0	76
15	20	29
100	46	48
22	92	56
47	74	81
94	21	80
6	97	37
53	49	19
6	81	19
66	48	64
95	1	14
41	24	56
54	20	77
78	97	28
72	67	27
3	57	40
50	26	77
54	81	33
95	42	99
3	4	94
77	47	12
22	28	7
7	62	94
94	11	34
88	57	28
21	59	34
64	94	53
56	68	24
45	65	51
39	48	19
15	30	23
45	82	97
39	3	34
25	84	37
60	70	80
63	19	69
16	68	18
31	28	2
12	42	58
89	20	29
18	61	81
14	96	61
16	15	1
89	57	17
36	46	67
71	44	54
44	38	40
11	27	55
91	48	81
16	13	49
95	63	92
12	69	65
65	2	18
97	89	74
67	90	26
13	73	49
68	95	42
36	33	73
