50	10
259	1007	1.4
284	1200	0.7
222	713	1.2
322	713	1.5
431	2001	0.5
306	897	1.5
132	2948	1.0
499	1861	0.7
419	2597	1.0
219	2369	0.7
278	962	0.9
230	2213	0.6
384	1337	1.1
43	2673	1.2
93	2714	1.0
467	2122	0.5
100	2176	0.8
176	23	0.5
264	1973	1.4
309	3000	1.4
142	2968	1.3
286	389	0.6
27	1605	0.8
137	1424	1.4
77	1972	0.7
279	2926	1.3
325	2136	1.1
412	2912	1.0
195	1255	1.5
76	2792	0.6
1	1234	0.5
496	1650	0.7
82	2423	1.2
202	362	0.9
450	284	1.0
117	2956	1.0
85	575	0.7
391	1376	0.5
402	697	1.1
311	1748	1.5
453	1881	1.2
217	56	1.3
255	1119	0.6
481	2816	0.9
216	1712	1.2
474	1724	1.2
132	2189	0.7
409	2169	1.4
92	2694	0.5
294	1948	1.5
4	0	16	97	7	69	11	21	93	86
92	45	48	66	22	98	73	3	3	89
47	70	29	56	63	39	84	74	41	41
41	87	21	17	58	29	36	94	19	100
70	34	45	63	8	89	1	23	78	7
22	72	78	31	1	26	11	28	48	73
26	87	64	46	41	36	51	30	99	8
85	32	13	3	82	10	47	78	91	0
88	24	24	39	56	52	85	2	33	31
72	81	14	34	52	2	89	11	63	19
58	47	30	73	83	38	86	59	75	22
42	98	21	20	36	36	68	4	84	92
32	60	49	45	88	63	90	27	79	21
79	69	20	20	45	81	28	13	56	33
42	93	73	87	89	91	100	65	35	40
72	2	4	53	87	67	67	30	28	92
17	75	97	6	29	19	85	16	92	34
10	10	43	36	67	41	91	56	71	76
26	88	85	48	34	77	8	0	17	74
84	74	0	9	33	12	71	11	67	46
2	29	80	21	11	77	74	39	19	69
23	78	44	56	26	46	100	27	54	54
40	7	39	53	14	90	17	19	72	45
79	35	83	60	9	49	19	19	6	62
57	7	45	29	37	28	66	13	68	28
79	86	81	23	39	10	37	7	97	12
98	42	72	56	46	11	65	31	83	45
47	95	75	80	41	43	93	70	36	75
97	29	53	9	24	93	0	32	35	85
33	32	57	7	63	83	96	1	22	58
56	14	41	22	38	18	30	86	36	22
37	54	33	12	62	93	95	64	99	8
70	71	3	70	98	20	35	91	24	73
77	71	35	63	100	38	99	89	49	74
39	4	35	81	18	84	8	54	60	64
80	29	88	42	1	72	7	40	35	62
16	98	38	68	56	8	100	32	2	82
47	82	8	15	61	87	81	80	8	68
25	98	54	91	29	4	36	35	17	4
79	80	47	75	30	98	97	45	85	4
85	16	93	33	94	31	11	5	41	65
97	58	38	48	96	92	26	92	31	13
96	28	45	29	84	34	96	63	73	44
63	52	70	40	67	7	87	5	48	77
9	30	21	5	87	77	47	31	99	65
27	9	54	4	79	0	80	30	90	18
45	56	8	80	76	29	67	35	16	70
100	41	90	97	46	41	0	23	15	16
59	14	80	84	42	5	90	87	84	47
85	74	10	10	60	92	9	87	7	0
