200	10
267	8052	1.2
431	5219	1.1
186	3907	0.6
300	7853	0.6
373	201	0.8
379	1544	0.9
246	3905	1.4
257	126	0.8
336	5164	1.0
452	5387	0.7
426	590	0.7
489	4292	0.5
307	5445	0.8
447	2028	1.1
266	3878	1.0
397	6444	1.2
141	9051	0.9
483	10305	0.7
26	734	1.2
210	1485	1.4
306	669	1.5
440	326	1.3
15	4931	0.9
123	421	1.0
276	8533	1.1
116	5690	0.6
201	10350	1.3
433	6257	1.3
305	522	1.2
207	5959	0.6
145	5004	0.9
386	9356	1.3
279	279	0.6
457	370	0.9
53	8713	1.1
233	5871	0.9
52	413	1.1
115	6008	1.0
6	8088	0.7
225	6104	1.2
446	572	1.3
25	2448	1.0
148	3765	1.5
24	4909	0.5
332	9929	1.2
486	7566	1.0
387	1541	1.2
283	6987	1.4
466	5896	1.4
222	2041	0.7
414	4846	1.1
354	5701	1.1
2	3583	0.9
90	2751	0.9
67	8223	0.9
383	8251	0.7
359	7334	1.3
363	2570	1.4
354	7230	1.2
261	5828	0.5
345	9359	0.9
214	3284	0.5
180	3440	0.6
168	2605	0.8
239	6274	0.6
264	6120	1.5
62	9470	1.2
197	2177	1.0
226	9587	1.5
277	8124	0.6
397	1193	0.8
297	2305	0.6
375	10434	0.7
401	5358	1.1
62	568	0.7
5	1570	0.7
72	611	0.6
21	9173	1.1
411	5255	0.8
216	5813	0.5
79	10191	0.8
123	3018	0.9
449	941	1.1
467	6445	0.8
155	1285	0.7
253	3538	0.5
243	3544	1.3
477	2513	0.7
392	8733	1.1
435	6442	0.5
354	10216	1.1
413	7107	1.3
197	10277	1.3
165	1859	0.5
355	5823	0.8
134	4990	1.3
96	1014	1.5
336	7693	0.9
211	8823	0.6
386	1537	0.6
275	6677	0.5
198	1192	1.0
81	9202	0.6
186	3869	0.6
30	6528	0.7
224	1719	1.4
342	2912	1.1
379	764	0.6
52	4433	1.1
481	6466	1.0
363	6958	1.0
99	2725	1.2
219	8891	1.4
367	589	0.6
355	7576	0.9
127	9303	1.1
310	3085	1.1
331	5997	0.6
308	9163	1.1
375	7044	1.2
321	1737	0.5
426	1789	1.1
351	10385	1.4
469	1654	0.6
301	2822	0.6
310	6060	0.6
49	1632	0.9
195	9258	1.1
379	4431	0.6
51	5075	0.8
449	9742	1.0
259	10356	0.8
409	10344	1.3
349	9029	0.7
426	674	1.0
119	1330	0.9
395	5587	0.8
34	4396	0.5
113	2038	1.2
359	119	1.5
127	4044	1.1
438	8580	1.4
474	4166	1.1
351	4415	0.9
203	2402	1.4
26	7376	0.6
307	1634	0.9
177	502	0.7
339	5492	0.9
366	1953	0.7
230	6928	1.1
60	73	1.2
169	9804	1.3
317	8860	0.7
448	9642	0.8
275	3666	1.4
424	5243	0.5
38	8779	1.1
342	6919	1.2
278	4548	0.7
194	7909	1.2
176	2519	1.3
180	5026	1.3
43	5182	1.0
166	5451	1.1
345	1969	1.3
500	2245	1.1
339	2613	0.8
33	6296	1.1
256	9521	1.0
456	16	1.3
426	9405	1.5
479	795	0.7
101	2663	1.0
177	10473	0.7
406	3469	0.7
425	4587	1.1
63	8763	1.3
438	2331	0.9
224	9908	1.4
445	2721	1.1
42	3246	1.3
181	5265	0.8
36	8719	1.3
38	6845	1.3
481	10169	0.6
202	10219	0.9
445	7984	1.2
163	1994	1.1
381	1924	1.0
20	1320	1.4
324	7890	1.0
224	5785	1.3
369	8543	1.0
262	8802	0.5
228	6202	0.6
410	6063	0.8
438	1860	1.3
78	4131	0.9
106	1531	1.3
36	98	17	18	67	42	74	93	81	63
82	65	44	40	23	83	61	65	75	29
21	97	94	43	98	7	72	5	47	66
17	78	66	99	57	28	66	73	31	45
98	36	55	73	7	59	38	64	48	11
21	78	28	36	32	40	24	22	5	71
28	64	89	4	76	1	64	14	13	27
11	59	48	56	46	60	42	35	49	38
0	16	35	14	12	28	67	87	82	4
59	20	26	98	89	38	72	11	54	51
14	20	92	23	88	81	0	12	13	6
77	74	47	19	16	63	21	52	86	49
96	1	11	42	2	14	96	73	3	6
9	14	60	96	67	82	12	50	30	21
74	33	55	88	55	40	28	54	95	14
88	47	33	41	5	30	3	94	2	53
59	48	80	85	36	24	46	31	58	80
11	80	69	8	36	52	33	79	2	18
61	53	94	53	100	27	53	77	70	39
19	78	68	71	77	45	18	7	54	20
0	63	88	85	33	52	88	94	33	9
37	92	42	31	33	95	43	44	29	83
32	86	69	99	99	92	83	84	71	72
32	52	60	72	67	35	93	10	90	89
43	88	94	10	49	40	58	49	51	52
74	47	11	94	92	19	64	3	40	88
50	75	37	82	93	57	23	34	65	59
41	70	95	45	100	17	83	1	30	49
52	91	96	76	20	53	44	100	13	78
62	51	4	100	40	17	99	47	97	88
55	3	56	20	59	93	48	55	35	63
30	80	15	78	67	77	60	83	97	50
40	64	22	70	70	60	30	21	15	49
93	5	61	74	62	80	49	17	0	73
90	0	54	80	51	8	24	59	24	28
37	34	76	90	66	42	75	95	9	8
25	46	82	100	73	31	5	37	17	88
80	19	19	19	12	41	9	57	73	37
97	63	67	70	94	60	98	71	39	74
99	48	48	3	0	85	68	63	46	37
57	48	77	50	89	52	33	7	81	76
81	27	50	91	5	27	6	60	93	61
71	95	29	60	46	60	51	80	15	87
59	76	1	21	48	20	51	59	57	77
98	94	85	51	52	40	86	29	70	50
90	20	71	81	55	18	19	35	1	7
78	46	37	4	26	9	15	91	54	31
43	0	32	19	84	31	55	71	57	54
79	73	93	61	29	86	39	52	11	26
86	90	3	14	88	26	46	90	65	24
32	83	65	82	98	39	45	94	7	70
86	30	68	45	71	98	27	90	64	40
6	9	1	57	34	91	32	98	17	21
51	87	12	61	11	79	46	17	0	67
45	51	51	41	14	63	62	47	37	4
27	17	26	37	13	39	3	5	11	26
36	38	92	47	12	39	89	1	73	97
47	86	95	57	50	23	34	1	67	30
21	65	41	70	38	41	54	71	33	15
77	77	40	55	71	78	38	18	15	13
13	97	48	84	76	60	94	66	85	13
52	72	34	38	34	38	44	31	16	89
36	4	0	65	6	63	38	56	91	27
28	30	41	17	32	100	97	58	11	10
65	29	50	99	17	17	50	15	93	96
64	34	17	88	66	58	54	33	9	58
57	25	80	22	74	35	94	78	55	80
44	52	12	58	59	41	5	24	48	47
68	100	23	49	70	4	76	80	41	11
67	68	18	98	37	13	68	5	93	61
42	79	53	40	8	87	44	32	25	8
3	34	98	88	87	81	81	25	45	4
68	25	55	68	44	58	84	77	20	61
54	98	38	40	11	77	71	81	33	8
92	49	8	26	50	82	13	80	24	48
7	60	75	79	88	48	96	48	17	44
69	13	71	39	14	74	8	16	61	83
22	9	9	51	68	32	33	83	28	98
67	99	10	28	42	54	43	99	24	39
52	96	92	51	99	41	32	21	51	66
80	15	72	77	78	49	4	8	96	69
18	91	67	29	17	44	92	12	63	14
72	29	19	68	9	42	60	60	44	50
60	88	69	77	9	59	83	6	57	67
26	96	41	19	71	23	6	95	86	91
58	93	73	45	63	49	81	32	43	57
94	56	73	96	12	45	25	2	2	12
77	75	56	99	16	44	17	90	74	20
27	7	3	34	48	40	45	81	5	45
1	95	13	63	41	56	31	77	78	60
7	87	34	47	56	91	32	31	35	68
29	15	59	56	38	41	14	99	42	57
26	84	55	41	28	22	33	91	91	5
91	88	55	76	12	57	36	63	39	48
45	24	99	26	65	10	70	22	75	30
47	25	23	25	89	67	54	16	34	73
94	42	52	43	96	54	13	28	50	84
55	68	55	52	24	54	71	21	69	86
25	75	67	88	19	31	52	44	94	53
42	29	87	78	17	88	71	24	53	39
89	1	64	65	68	75	63	52	40	17
74	46	51	99	26	98	78	35	63	49
45	69	73	39	54	82	5	86	10	19
61	19	87	40	15	16	74	43	87	26
81	7	87	18	29	98	64	62	2	53
1	61	96	28	57	35	22	98	3	5
38	98	86	52	17	4	23	4	56	35
86	35	38	77	76	21	28	96	35	42
36	77	17	63	21	24	40	4	58	53
62	17	65	46	90	76	95	75	68	11
86	59	63	93	99	87	77	80	3	43
9	50	65	78	21	41	91	78	85	86
70	49	99	96	96	81	51	79	75	10
96	26	27	49	38	65	92	82	88	16
4	19	75	53	13	3	94	84	62	38
69	71	4	66	95	17	21	45	64	5
52	51	17	38	35	68	47	69	84	81
76	62	72	33	31	71	48	81	79	83
85	83	85	6	51	64	0	63	29	11
37	51	64	11	11	41	52	8	41	78
86	81	71	47	33	20	98	76	76	16
85	32	99	17	42	90	39	80	28	15
94	79	98	66	88	86	18	31	14	89
87	17	47	59	70	6	9	44	5	95
43	92	90	32	34	74	64	73	39	27
58	61	79	76	85	52	39	47	49	9
48	57	65	65	56	69	35	80	11	98
4	5	38	69	33	83	13	16	92	61
60	1	34	90	42	59	55	64	79	44
77	78	69	89	75	52	46	44	95	5
42	100	59	40	90	88	23	89	47	32
81	12	55	74	70	94	30	11	82	12
3	6	41	42	85	88	30	63	87	94
42	30	92	100	48	86	67	64	31	57
37	41	2	36	14	93	38	69	82	47
52	58	55	40	46	11	92	87	59	36
92	6	37	0	44	74	68	79	80	95
