50	3
319	971	1.4
351	990	1.2
491	1313	0.9
27	1750	1.1
471	1021	1.2
436	454	1.0
50	2518	1.4
4	2277	0.6
207	1960	1.1
308	1526	0.6
425	1272	0.8
5	1142	1.2
280	1625	1.1
258	1863	0.7
26	1585	1.3
437	1873	0.7
382	1115	0.7
153	2171	0.9
389	2614	1.5
134	2424	1.3
381	2497	1.4
97	949	1.2
71	504	0.6
181	228	0.6
326	2497	1.4
291	2135	0.6
250	2232	1.5
334	1500	0.6
399	1316	0.9
453	1448	0.7
321	2369	1.5
25	1256	1.2
229	1957	1.4
390	720	1.4
32	2150	1.2
168	2519	0.9
241	671	0.9
110	81	0.7
467	573	0.7
278	1440	0.6
467	2195	1.0
60	1410	0.6
410	2470	0.6
108	1510	0.9
479	2088	1.2
353	2070	1.0
399	2403	1.1
314	2121	1.3
386	1655	1.1
108	1716	1.5
95	99	1
44	31	72
65	14	8
63	46	48
59	99	33
22	85	34
42	87	82
75	21	69
3	7	4
27	52	51
36	84	44
45	52	93
78	89	48
56	26	48
0	68	86
42	80	91
15	36	28
23	71	38
38	97	100
37	95	44
87	77	24
68	11	96
24	77	14
43	94	89
29	89	57
90	86	33
93	46	30
55	59	43
73	85	40
62	11	41
88	69	36
33	88	24
70	53	34
72	39	66
33	46	46
23	17	33
22	1	0
28	36	96
44	34	43
73	78	34
51	12	31
87	74	29
25	80	59
22	90	83
67	41	37
39	71	99
73	48	77
34	72	54
3	66	88
15	53	14
