50	3
471	1360	1.1
120	844	0.5
68	308	1.3
356	1145	0.7
137	615	1.3
206	972	0.8
165	294	0.9
78	1316	1.0
497	176	1.5
30	411	0.7
379	1787	0.8
170	235	1.4
349	1212	0.7
272	82	1.3
263	1701	0.8
164	1725	1.0
149	745	0.9
295	625	1.1
290	1047	1.0
111	1042	1.4
286	1772	1.0
338	1692	1.3
93	968	0.7
207	1920	0.5
47	509	1.4
7	103	1.1
448	1967	0.5
245	654	1.5
192	1024	0.7
185	839	1.5
56	2009	1.3
132	470	1.0
329	506	0.9
214	795	0.6
411	859	0.6
454	1809	0.7
478	1784	0.5
462	1670	0.7
310	2100	1.2
321	2100	1.2
33	592	0.8
135	1317	0.8
296	1113	1.4
481	1522	1.1
11	2073	1.3
436	839	1.2
77	1348	1.5
434	1689	0.9
287	1289	0.9
442	90	0.9
17	25	47
9	5	6
65	63	43
54	90	60
18	86	50
10	65	61
57	78	64
68	91	19
91	5	31
23	48	92
86	26	97
97	65	7
23	26	68
35	70	76
19	79	55
57	22	51
7	20	70
3	55	96
76	25	79
50	72	77
77	96	36
14	52	51
87	28	68
82	11	49
80	17	77
55	94	95
75	21	53
96	56	59
16	45	4
75	11	45
7	99	39
82	76	17
17	15	60
54	16	70
26	39	99
30	32	3
15	84	74
48	45	88
32	14	56
16	3	14
70	70	28
41	100	90
15	26	42
68	73	46
8	92	33
66	66	18
97	18	64
14	75	89
37	53	58
21	47	10
