200	3
301	7509	0.9
201	3863	0.8
418	4453	1.5
297	6510	1.3
470	2583	1.4
360	7660	0.8
237	6292	0.6
21	217	0.7
69	7002	0.9
410	1728	0.5
330	6331	1.3
461	6345	0.8
250	1971	1.4
16	615	0.5
205	5809	0.8
92	2420	0.7
30	1095	1.3
404	2914	1.0
66	7307	0.7
410	1474	0.5
174	4634	0.8
436	5399	1.0
53	7676	1.4
401	4531	0.7
437	589	1.4
275	3153	1.3
141	3662	1.2
365	7975	1.5
66	2212	1.1
244	4877	0.7
240	1867	0.8
336	7699	1.2
257	1929	1.5
243	7292	0.7
286	4365	0.8
85	2827	0.8
462	1781	0.8
326	6553	1.2
384	2194	1.2
430	5861	0.6
243	361	0.8
310	6806	0.5
285	4905	1.0
349	5197	1.3
79	7049	1.3
11	6386	0.9
254	343	0.9
123	555	0.8
308	4113	1.5
478	2985	0.6
121	2741	1.4
497	414	0.8
111	560	0.7
325	6390	0.8
69	2134	0.6
90	4568	0.7
227	869	1.1
29	2711	1.3
437	5638	0.8
41	7052	1.1
318	8118	1.3
297	4830	1.1
116	7949	0.7
128	1942	0.5
137	6455	0.9
364	3081	1.4
303	430	0.7
335	2934	0.8
448	1816	1.5
333	7743	0.8
178	2293	0.7
110	2363	1.0
355	867	0.6
410	5456	1.4
303	3990	0.5
303	2360	1.4
457	7096	1.3
153	4920	1.3
272	1219	1.3
497	3205	1.2
14	3343	0.6
85	2103	1.2
432	1535	0.7
242	387	1.3
43	7806	0.6
287	7816	1.1
202	3319	1.4
412	5348	0.9
2	2299	1.5
329	402	1.1
302	7751	0.9
171	3365	0.7
3	6565	1.1
139	3203	0.6
427	6693	0.8
283	1606	0.8
217	8081	1.0
193	3401	0.9
169	7128	1.1
255	7723	0.9
389	4940	0.9
104	1228	0.6
236	2577	0.6
40	2703	1.1
141	1160	1.1
498	3566	1.3
260	872	0.7
289	60	0.8
485	874	1.3
261	7341	0.9
240	2458	0.7
383	3365	0.8
214	3160	1.3
46	5968	1.2
424	6115	0.6
238	2921	1.1
95	3373	0.6
115	7417	0.8
171	1253	0.8
103	2211	0.7
33	2723	0.7
405	7825	1.0
90	7414	0.9
350	3834	1.0
139	7606	0.8
410	6679	0.8
4	6456	1.1
477	2351	0.8
354	4202	1.4
246	7479	0.8
39	6707	0.6
322	3117	0.8
71	3504	1.0
3	606	1.5
378	3343	1.4
212	826	0.7
413	4283	1.2
250	2205	1.3
486	1210	1.4
34	1792	1.0
97	1606	0.7
297	7769	0.7
340	2391	1.2
465	7481	1.3
53	2103	1.4
75	7339	0.6
479	2919	1.4
343	2692	0.9
217	3087	1.4
242	2169	1.2
398	6513	1.0
