200	10
80	5796	1.3
63	284	0.7
105	183	0.7
422	221	1.3
43	6220	1.5
273	6903	0.7
365	185	1.2
250	2168	1.5
54	3682	1.1
306	4983	0.7
161	7919	1.3
138	7453	1.0
13	3646	1.5
316	5311	1.4
476	7363	1.3
286	3685	0.7
86	2942	1.2
294	8309	0.7
98	4947	1.1
472	2993	0.7
288	5741	1.3
320	6487	0.6
174	6519	1.5
239	5629	0.5
260	7647	1.5
121	7574	1.4
8	6921	0.8
413	930	0.6
165	4349	0.8
38	7736	1.3
152	330	0.7
178	4328	0.9
364	1471	1.1
275	8043	0.6
87	6884	1.0
205	7287	0.7
301	6463	0.8
27	3604	1.4
47	6131	1.1
61	6862	0.5
272	4353	0.8
352	4923	0.6
272	8056	0.5
387	168	1.4
494	7422	1.1
397	4092	1.1
245	1006	0.5
70	1236	1.4
141	4215	1.5
336	4195	1.5
207	7257	1.2
407	7558	1.3
287	7150	1.5
125	7709	1.1
497	2357	0.9
489	7401	0.7
408	7334	1.1
443	6701	1.2
13	4592	0.6
285	5570	0.8
378	2252	1.2
421	4990	0.5
345	6698	1.0
166	7530	0.9
120	5751	0.8
21	5883	0.7
370	5774	0.5
351	6744	0.8
347	4353	0.9
171	4054	1.1
363	5115	1.3
16	7544	1.4
53	4547	1.2
21	7566	1.3
416	312	1.3
36	2396	0.8
187	690	0.7
428	2615	1.5
211	8167	0.7
108	3077	1.2
165	8153	1.1
23	4592	0.7
454	7933	0.7
232	2615	0.9
163	8156	1.2
478	7243	1.4
498	4646	0.6
293	1111	0.9
347	7722	0.8
329	7114	0.7
474	67	1.2
211	5913	1.0
466	2394	0.5
461	7477	0.8
459	5377	0.8
414	4838	1.0
490	3144	0.8
120	2521	0.8
488	7173	1.1
106	7722	1.3
191	7532	1.1
57	5583	0.5
451	4075	1.4
65	3792	1.1
370	914	1.2
167	4631	0.6
177	321	1.4
459	5744	0.5
124	2183	0.9
232	1164	1.1
248	6448	1.5
417	2817	0.7
341	4646	0.7
117	7327	1.1
346	623	0.8
326	2148	1.4
342	2885	0.8
51	6228	0.9
163	1554	1.3
109	5895	0.8
336	6646	1.4
328	2240	1.2
200	4909	1.1
447	2620	1.0
122	5789	1.0
52	6689	0.8
470	1402	1.4
198	5214	1.3
192	5726	1.0
280	1687	1.3
426	4858	1.3
480	3859	0.9
172	5006	1.0
177	4735	1.4
148	6012	1.3
172	698	1.3
274	868	0.7
35	8054	1.0
90	7179	1.0
295	3128	1.1
162	3599	1.4
274	7638	0.6
434	3116	1.0
28	7975	1.2
425	2749	0.9
273	5236	0.8
346	4439	1.4
331	4653	0.7
74	422	1.4
157	5013	0.8
184	2511	0.7
410	4401	1.1
218	4300	0.9
380	5720	1.4
455	5746	1.4
16	6065	0.9
369	3215	1.3
228	1728	1.0
57	4270	0.5
306	6336	1.3
24	2729	0.6
100	2124	1.3
123	1273	1.1
250	6909	0.7
457	744	0.8
163	5669	0.6
498	1589	0.9
320	469	1.4
394	5786	0.8
259	7979	0.6
147	3442	1.0
450	5582	1.2
486	3196	0.7
160	3947	0.7
49	1499	1.2
491	6383	0.6
255	5478	1.1
37	2966	0.7
369	5155	0.8
157	1539	1.0
441	8019	1.1
249	3162	1.2
455	4613	1.0
185	1590	1.3
410	3241	1.2
313	1006	1.5
455	6267	0.9
205	2738	1.2
56	413	1.4
166	7711	1.3
101	2740	0.8
45	2993	1.5
361	2554	1.3
72	5989	1.2
471	7523	1.5
457	4738	1.2
39	5277	1.0
290	3353	0.7
246	2731	1.3
5	2420	0.8
50	31	88	17	76	73	67	66	58	66
2	18	3	69	22	35	57	27	100	11
