100	3
207	2244	1.3
442	492	1.3
76	3590	1.4
45	382	1.1
366	2560	1.0
369	794	0.6
168	2419	1.1
134	1490	0.8
43	597	0.7
323	1041	1.5
61	5108	1.5
433	2480	0.6
74	4711	0.7
227	2961	0.7
290	3761	1.0
59	989	1.5
95	4758	1.2
208	3898	1.0
405	737	1.2
365	2059	1.2
379	3336	0.8
70	973	1.0
486	4961	0.9
158	2596	0.7
347	3512	0.6
497	1337	0.7
12	2975	1.1
288	3717	1.2
430	497	1.0
337	2943	0.9
383	4990	0.5
98	1261	0.6
204	1574	0.7
97	392	1.5
143	997	1.1
470	13	1.4
463	3312	1.1
471	884	1.4
201	4425	1.4
452	1896	0.7
159	1862	1.0
54	1842	1.4
92	2959	1.3
195	3397	1.1
374	1406	1.0
70	2785	0.6
87	4310	1.4
190	3983	1.3
261	3874	0.7
234	3002	0.5
179	1698	0.8
35	4104	0.8
99	1645	0.7
111	974	0.5
263	496	1.1
220	4857	1.0
410	2692	0.7
72	3740	0.9
48	2877	0.9
166	3361	1.1
303	1731	1.2
221	341	1.0
485	4387	0.6
494	1049	0.8
451	4101	0.6
382	262	1.1
287	2271	1.3
266	3481	1.1
396	476	1.1
26	3430	1.4
310	2524	0.9
182	3156	0.6
87	4283	0.8
231	2712	1.5
355	4901	0.5
462	1152	0.6
338	3579	0.7
49	3901	1.0
187	4358	0.8
402	2426	1.4
105	1066	1.2
373	4495	1.3
319	3605	1.0
342	4565	1.4
282	4292	0.8
181	3811	0.9
349	3131	1.0
15	2361	1.2
413	662	1.3
250	1169	0.9
410	4612	1.2
34	2250	0.8
10	779	0.7
210	3214	1.0
22	4334	0.9
482	2040	0.8
387	4453	1.3
48	2247	1.2
387	2252	1.3
345	2079	0.5
62	75	38
70	64	82
76	65	90
91	63	57
67	30	7
79	98	65
75	12	43
32	27	92
88	78	90
19	45	40
44	93	43
17	5	82
61	64	97
40	50	39
43	1	11
84	30	41
69	23	49
53	4	71
36	29	84
55	74	78
65	16	45
72	99	14
95	86	13
83	0	76
6	78	14
81	17	57
73	12	19
30	17	82
99	25	56
54	56	98
88	71	4
51	15	26
98	78	91
48	49	79
98	64	2
1	19	97
0	33	9
87	89	91
99	64	49
47	56	87
67	38	54
56	25	91
37	27	51
98	47	38
87	16	14
52	23	83
64	58	64
23	35	12
59	83	78
72	71	18
19	100	21
92	63	89
76	8	11
97	12	44
80	25	38
92	93	40
92	73	19
73	4	65
56	90	53
65	4	77
70	47	45
19	64	45
68	32	97
9	54	14
73	65	75
86	3	26
90	82	74
0	22	55
8	26	97
74	33	73
97	56	42
69	50	27
81	69	89
51	20	24
97	10	67
84	79	98
74	71	78
83	76	75
77	20	50
2	97	71
2	22	35
89	75	50
63	56	98
8	12	12
67	12	86
68	68	5
7	41	31
5	45	3
44	80	51
89	100	17
10	42	6
4	68	58
44	82	30
91	82	88
90	87	51
60	85	24
91	10	41
0	48	35
98	55	65
79	80	82
