30	5
287	363	0.9
462	207	1.3
27	841	1.4
255	206	0.7
394	356	0.7
463	953	0.9
323	534	0.6
115	1031	0.9
214	122	1.4
307	1261	1.2
52	891	1.4
26	685	1.3
461	779	0.6
340	1396	1.0
373	1062	1.5
431	1093	0.7
96	563	1.2
265	519	1.5
53	1268	1.2
318	74	1.2
246	448	0.8
404	1290	1.5
281	583	1.3
307	300	0.8
489	553	1.4
116	1242	0.7
23	272	0.5
64	1152	1.4
166	256	1.4
254	475	0.5
27	54	44	94	41
0	5	15	33	15
92	48	8	37	77
52	79	2	92	70
66	43	91	29	58
36	70	9	64	48
1	47	81	52	24
73	7	88	59	84
37	10	86	19	46
22	53	53	20	22
52	79	33	65	28
78	16	82	74	78
43	25	51	67	53
21	11	79	55	65
48	17	15	66	50
33	96	62	2	20
18	12	80	46	46
96	10	81	45	12
31	48	11	34	11
51	48	75	86	95
52	45	63	77	13
71	38	57	79	8
97	58	84	65	25
44	6	48	21	12
46	47	16	28	77
76	100	68	85	81
69	83	38	43	82
51	92	70	43	34
89	14	0	99	44
24	80	27	86	40
