100	3
230	3878	0.8
30	606	0.9
109	507	1.3
431	3921	0.6
478	3070	0.8
458	1311	1.2
115	1253	0.7
369	3547	1.4
393	3852	0.8
73	1260	0.8
190	2128	0.5
469	1520	0.6
289	1212	1.1
176	3802	1.4
50	1718	1.2
432	781	1.2
167	3116	1.4
371	264	1.0
279	1736	0.9
246	3198	1.0
382	2400	1.2
466	2322	0.7
240	2967	1.0
138	1960	1.3
123	1387	1.2
231	1983	1.4
465	2651	1.3
36	1437	1.5
355	3616	1.2
367	3773	1.5
327	3449	0.8
11	4113	0.5
167	373	0.5
294	3860	1.3
40	926	1.4
439	1043	1.2
182	2345	0.6
119	3007	0.5
272	904	0.8
371	198	1.1
456	4019	0.9
404	2257	1.2
436	653	1.3
333	1423	1.0
39	1194	1.0
65	2319	1.2
440	1750	0.9
63	1814	0.8
120	2776	0.8
48	876	1.3
457	943	0.9
387	2044	1.2
427	667	0.5
115	551	1.1
497	2134	0.8
254	2681	0.9
300	3719	1.0
353	1146	0.7
338	4025	0.5
136	2223	1.1
120	692	1.4
282	1250	1.4
117	2471	1.5
291	2382	0.5
498	3491	1.2
145	3433	1.5
108	3249	0.6
122	3492	0.9
420	2669	0.6
267	2804	1.2
8	1888	1.1
117	3830	1.0
239	2961	0.8
70	2582	0.5
264	456	0.5
95	2180	0.6
224	3781	1.2
118	3510	1.0
241	1429	0.8
259	964	1.3
45	1807	0.6
288	2512	1.3
270	3258	0.8
274	1045	1.0
407	78	0.6
444	981	0.9
398	3650	0.6
367	1967	0.7
222	1843	1.0
210	430	1.2
351	2231	0.7
175	2892	1.0
14	2418	1.5
197	2363	0.6
34	372	1.2
327	1506	1.5
461	2624	1.0
317	2459	0.8
111	2188	1.1
1	2631	0.8
97	85	53
1	1	2
37	52	89
56	21	86
86	41	50
18	15	5
67	9	93
90	61	18
7	74	75
2	86	21
59	57	50
0	44	18
57	87	18
38	47	28
76	59	74
68	28	87
52	16	37
100	93	52
79	84	59
67	74	35
25	10	11
19	53	65
97	33	79
100	35	49
29	34	21
100	50	66
98	71	71
92	81	65
88	67	24
11	90	37
89	70	10
3	18	22
29	32	74
76	98	71
27	95	31
6	75	77
30	7	64
82	65	76
95	37	5
76	95	34
16	60	20
27	5	38
93	50	43
31	7	81
37	56	48
37	91	62
21	64	22
96	46	82
70	88	41
53	64	52
1	43	98
89	37	30
64	80	62
46	1	75
94	86	10
40	68	92
86	91	9
34	25	58
82	89	61
27	50	51
72	93	74
81	30	53
71	7	28
21	70	0
48	49	94
30	22	37
72	29	35
62	56	69
28	53	22
72	54	71
15	73	29
25	53	41
53	63	19
88	33	86
78	60	70
19	33	59
66	89	60
70	96	24
41	48	11
67	34	53
5	74	98
64	24	5
99	74	46
4	47	5
4	22	60
25	95	31
7	17	27
63	50	89
70	4	12
57	43	14
2	8	13
69	21	72
39	17	85
81	29	43
84	97	57
8	6	48
89	6	73
56	82	59
75	15	96
6	82	84
