100	3
347	4367	1.3
205	2179	0.5
145	3410	0.8
143	4198	0.8
399	3873	0.9
17	5026	0.8
324	3509	0.7
88	4193	1.5
129	3494	1.4
82	1375	1.5
393	506	0.8
463	2851	1.4
189	4604	0.8
35	2211	0.9
276	4153	0.9
296	3802	0.9
457	2340	0.9
177	2233	1.5
378	256	1.0
367	4294	0.6
38	840	0.5
22	4386	1.3
196	4995	1.4
183	4517	0.6
318	4258	0.9
444	2831	0.9
167	14	1.2
196	2332	1.3
238	159	0.7
285	2097	1.2
40	3014	0.9
269	918	1.2
214	768	0.7
33	3377	1.4
329	767	1.2
100	2797	0.8
380	4171	1.4
438	4788	0.7
131	4445	0.7
106	2294	1.0
63	2758	1.3
157	3214	1.0
367	514	0.7
493	1392	0.8
175	3989	1.1
308	3362	0.9
242	454	0.8
4	4380	1.2
433	231	0.7
29	1037	1.5
457	3742	1.3
64	816	1.2
87	2099	0.8
402	2915	0.7
495	113	1.0
330	356	1.4
73	5093	1.2
362	3487	0.8
500	645	0.9
353	200	1.3
268	3968	0.6
434	2032	0.9
68	2216	1.4
364	227	0.6
263	1884	1.0
427	907	0.8
486	3640	1.2
391	3214	0.5
326	4	0.7
420	1056	0.9
216	3785	1.2
219	1908	1.0
482	2160	1.5
178	2972	0.5
175	2117	0.7
400	3643	1.4
381	4798	1.3
330	3276	0.7
107	4078	0.8
323	1586	0.8
373	1660	1.0
437	284	0.7
86	245	1.1
57	5084	1.3
456	4324	1.0
304	3882	0.6
467	4081	1.2
465	2155	0.6
39	5068	1.2
140	1285	0.8
300	3912	1.4
320	2656	1.1
165	1616	0.8
434	2738	1.0
40	1504	1.4
402	4254	0.6
138	5078	0.8
151	295	0.7
71	3166	1.0
319	3986	1.0
27	25	43
64	96	21
32	36	72
2	10	5
42	64	59
78	5	26
43	32	52
81	37	60
6	99	49
7	76	81
53	87	65
40	79	21
4	16	67
4	52	98
27	5	14
49	36	31
46	53	84
64	78	12
6	86	23
58	52	14
32	1	59
44	14	68
36	46	22
62	21	95
17	93	81
85	91	6
50	13	78
67	79	74
38	28	62
53	28	22
39	68	49
37	36	40
94	78	23
36	75	5
80	84	57
43	32	80
81	28	50
4	88	30
69	64	54
88	42	67
30	86	56
59	82	43
42	28	61
23	13	96
78	23	39
4	3	81
10	33	86
34	99	36
5	83	63
38	39	83
2	84	81
18	12	80
78	5	48
19	14	30
48	30	38
18	13	40
26	15	8
89	0	74
78	95	99
41	33	4
94	29	15
16	73	72
85	25	74
34	42	73
95	7	31
49	54	22
30	29	38
37	85	94
4	22	82
17	79	1
16	73	11
75	67	28
37	72	16
96	100	72
27	6	81
38	34	65
14	97	36
62	93	10
66	98	74
85	21	97
96	37	16
58	77	94
60	37	48
24	13	92
72	87	23
86	95	85
93	92	97
28	90	83
83	83	41
56	72	94
25	76	40
100	3	75
63	87	13
12	19	14
50	20	2
75	64	33
97	91	10
49	72	34
69	88	41
75	68	24
