30	10
83	1381	1.5
442	220	1.2
24	422	1.0
9	213	0.7
487	705	0.8
200	1237	0.8
460	563	1.2
111	1003	1.1
410	1004	0.8
58	1015	1.1
454	142	0.8
163	1251	1.2
266	339	0.8
300	24	0.8
38	369	1.3
385	1016	1.4
442	799	1.4
328	1431	0.7
445	1276	0.5
150	581	1.2
232	1047	1.1
85	711	0.6
322	892	1.1
306	1373	1.4
432	410	1.0
429	919	1.0
104	642	1.1
155	326	1.3
414	878	1.4
418	1382	0.9
62	33	94	61	65	35	27	34	39	64
72	53	87	27	10	100	16	75	21	5
67	41	11	85	73	46	66	65	19	74
98	84	33	80	72	9	72	53	74	49
64	8	23	25	41	95	83	67	37	19
62	94	78	82	82	53	50	84	87	86
66	52	70	59	11	3	13	78	93	5
83	86	85	70	4	74	74	11	51	16
5	33	57	41	46	43	15	59	45	89
48	59	20	8	13	100	51	69	53	84
99	9	21	74	42	54	17	16	51	4
58	40	71	92	99	94	59	84	59	81
41	31	60	84	16	59	6	100	97	67
42	0	97	66	18	44	66	99	80	27
80	80	15	33	75	2	96	49	48	42
28	2	15	12	49	6	33	98	91	55
84	16	47	53	37	48	73	32	76	67
23	32	7	19	98	95	46	98	73	61
82	31	1	10	32	59	54	31	87	97
75	65	38	66	51	19	9	12	46	77
82	51	99	9	21	84	46	24	5	39
71	33	71	47	25	95	48	29	33	13
37	5	33	34	76	91	51	30	46	90
65	17	88	71	68	92	50	14	68	27
67	16	45	22	66	58	8	47	9	5
57	61	81	55	5	67	4	95	60	71
17	92	25	100	84	76	12	65	63	27
35	10	31	48	66	42	60	16	28	64
55	1	15	37	59	50	97	73	21	9
8	78	36	6	85	70	54	41	28	66
