200	3
206	1543	0.9
119	7121	1.3
482	5947	0.6
108	8746	1.1
182	1533	0.8
47	4534	1.2
451	3694	1.0
147	9709	0.7
90	6793	0.8
385	10119	1.4
293	1004	0.7
483	5932	1.3
434	5827	0.5
164	9978	0.8
500	381	1.1
396	1925	1.2
323	5713	1.3
490	4009	1.1
392	8503	1.5
159	9591	1.1
12	930	0.6
401	1375	0.7
258	7717	0.8
28	2152	0.8
297	724	0.7
309	8611	1.5
172	4307	0.8
103	7729	1.3
176	513	0.9
146	6252	0.8
486	977	1.1
281	6056	1.4
460	1040	1.0
60	6294	0.9
339	9956	0.7
285	7350	1.1
239	1390	0.7
272	3641	1.1
198	4899	1.1
10	7268	0.8
389	8668	0.6
467	5216	0.9
245	9207	1.3
164	4124	1.0
40	602	1.3
313	641	1.1
151	5782	1.0
444	5747	1.2
168	5683	0.8
471	7404	1.2
34	7940	1.4
229	9150	0.8
239	3630	0.9
215	3674	1.1
148	6954	0.9
18	2194	0.9
83	3672	0.8
9	3482	1.1
102	3990	1.1
112	865	0.7
406	3414	1.2
151	6231	1.5
153	4314	1.5
257	8952	1.0
127	3088	1.3
359	4194	1.4
370	8989	0.7
251	5090	1.5
443	1253	0.9
386	3270	1.3
219	3730	0.9
230	6354	0.7
319	4638	0.8
42	7214	1.1
363	434	0.8
130	8877	0.7
301	8666	0.8
220	1795	0.8
226	9268	0.5
61	6915	0.8
336	1622	0.9
291	757	1.0
112	6969	1.1
66	2496	0.6
21	9924	0.6
481	7341	0.6
438	2537	1.4
9	4064	1.5
451	4004	1.3
77	3980	1.2
361	2089	1.0
73	7465	0.7
83	7054	1.1
88	6644	1.1
365	4496	1.3
104	8425	0.9
297	2849	1.1
204	2077	0.8
87	2111	1.1
279	9427	0.8
68	5204	0.5
174	7414	0.7
442	6586	0.7
347	9236	0.6
428	7072	0.9
460	9519	1.3
336	3012	0.9
408	9019	1.1
132	9437	0.6
269	3237	1.1
18	4633	1.1
478	3020	1.0
206	267	0.9
337	7687	1.0
367	9890	1.1
325	8033	0.8
295	2482	1.4
53	5742	1.4
