50	3
68	1087	0.5
174	1549	0.7
442	1376	0.7
347	1930	0.6
428	1478	0.9
460	1989	1.3
336	629	0.9
408	1884	1.1
132	1972	0.6
269	677	1.1
18	968	1.1
478	631	1.0
206	56	0.9
337	1606	1.0
367	2066	1.1
325	1678	0.8
295	519	1.4
53	1200	1.4
159	744	0.9
298	1731	1.0
488	62	1.1
310	104	0.7
115	1419	0.5
146	402	0.8
37	1038	1.4
162	395	1.5
267	645	1.0
59	1127	1.0
138	1773	0.9
175	1112	0.9
458	1881	1.2
406	1903	1.1
213	1035	1.1
61	1872	0.7
1	1037	0.6
417	949	1.5
341	156	1.3
459	2018	0.7
305	1041	0.9
289	1068	1.1
279	87	0.8
484	828	1.4
22	253	1.3
442	1767	0.6
236	222	1.1
383	1083	1.2
490	213	1.4
427	1076	1.0
325	492	1.5
428	302	0.7
61	41	9
39	17	39
68	40	72
13	78	78
69	62	96
73	8	51
89	87	85
94	56	43
93	70	41
31	74	76
28	5	80
56	31	49
49	90	80
11	45	87
0	1	61
82	99	22
50	58	46
50	78	2
78	37	52
26	92	34
37	48	73
29	94	66
23	72	63
30	20	5
40	35	88
65	36	43
8	62	93
57	47	19
37	55	25
67	52	11
9	80	40
3	61	48
54	40	6
76	83	7
71	95	61
66	43	80
87	93	6
71	20	18
8	75	47
26	4	46
81	83	46
42	84	67
44	31	80
50	90	54
52	23	58
30	81	88
63	84	21
32	15	7
84	14	33
24	8	43
