0,88,44,100,38,72,36,110,104,33,100,49,21,106,54,73,43,92,3,45,119,0
0,11,6,17,16,13,4,14,6,19,13,8,7,13,3,9,18,20,16,6,19,0
0,120,278,300,189,103,217,315,135,243,152,201,235,287,287,198,84,326,47,123,343,0
0,130,284,316,204,115,221,328,141,261,164,209,242,299,290,207,101,344,62,129,361,0
0,6,10,16,18,17,5,12,10,9,5,2,5,13,14,5,8,4,16,16,20,0
0,0.6,1.6667,1.0,1.2,1.4167,1.25,0.92308,1.6667,0.5,0.41667,0.25,0.71429,1.0833,4.6667,0.55556,0.47059,0.22222,1.0667,2.6667,1.1111,0
0,27,12,92,64,64,82,22,68,48,38,18,88,61,93,23,25,91,41,74,9,0
0,2,9,5,3,3,4,8,7,2,3,5,8,10,3,6,5,6,7,6,6,0
0,0,9,6,5,10,8,3,8,2,9,2,8,2,5,4,3,6,2,7,10,0
0,6,0,2,8,3,2,6,5,5,8,5,7,9,4,10,3,7,2,4,4,0
0,8,2,0,2,3,3,10,7,6,4,8,6,6,4,8,10,10,6,7,9,0
0,8,5,4,0,9,2,9,10,6,5,2,3,8,7,10,3,7,7,9,8,0
0,4,6,3,10,0,9,7,10,9,4,4,9,4,2,3,9,10,6,4,4,0
0,4,2,5,10,8,0,7,6,3,3,4,3,8,5,7,10,8,3,2,3,0
0,2,7,9,6,6,9,0,5,7,8,5,5,8,7,5,5,6,2,4,6,0
0,8,8,6,4,10,8,2,0,7,3,5,7,6,10,10,10,7,4,7,8,0
0,7,5,3,3,5,9,7,4,0,10,2,6,10,7,3,6,9,2,6,10,0
0,10,5,9,8,10,2,4,10,4,0,8,6,8,8,2,3,3,7,3,4,0
0,7,5,5,10,5,9,4,3,4,9,0,10,10,4,4,9,9,5,2,7,0
0,7,9,4,9,9,8,2,6,9,7,2,0,7,10,3,8,7,8,3,4,0
0,9,7,8,10,7,6,3,9,10,2,5,2,0,9,6,7,4,4,9,5,0
0,4,8,6,10,9,5,9,5,4,8,4,10,8,0,2,4,2,5,10,8,0
0,2,2,2,9,7,8,2,3,5,3,4,6,2,7,0,4,10,9,7,6,0
0,7,4,7,9,9,4,9,8,8,3,5,6,10,7,9,0,10,6,5,7,0
0,4,10,8,4,2,3,7,5,7,4,4,5,5,2,10,10,0,9,6,4,0
0,2,3,7,5,10,2,10,3,7,10,4,4,10,7,9,4,7,0,6,2,0
0,3,2,4,8,9,6,3,4,3,3,5,2,6,8,10,4,5,10,0,4,0
0,8,8,9,3,7,3,10,2,10,10,5,7,8,3,10,8,3,4,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0
