0,76,8,164,1,133,143,146,52,161,18,88,81,21,129,78,148,72,74,45,38,8,101,114,5,56,126,132,166,115,76,126,74,24,11,149,100,59,51,102,96,70,17,43,9,123,101,6,40,61,38,0
0,7,5,16,14,17,5,9,17,17,16,12,18,3,2,5,17,14,11,13,8,7,4,6,2,12,16,8,16,5,19,15,14,19,9,3,5,20,10,16,19,19,9,14,3,9,16,12,2,9,8,0
0,522,378,497,440,607,463,562,376,535,342,509,503,397,493,476,506,392,485,476,362,358,489,536,337,449,536,562,604,483,536,458,446,457,463,474,549,465,488,524,542,538,392,477,429,518,536,420,369,395,463,607
0,525,380,502,445,613,465,565,382,541,347,513,509,398,494,478,512,397,489,480,365,361,491,538,338,453,541,565,609,485,542,463,451,463,466,475,551,471,491,529,548,544,395,482,430,521,541,424,370,398,466,613
0,17,9,18,11,2,20,3,13,18,14,8,12,20,3,4,19,9,3,16,13,20,17,3,18,2,12,20,9,13,2,6,3,7,3,20,12,14,10,5,12,6,6,20,16,8,13,11,8,19,16,0
0,5.6667,4.5,3.6,2.2,0.33333,10.0,1.0,2.1667,3.0,2.8,2.0,2.0,20.0,3.0,2.0,3.1667,1.8,0.75,4.0,4.3333,6.6667,8.5,1.5,18.0,0.5,2.4,6.6667,1.8,6.5,0.33333,1.2,0.6,1.1667,1.0,20.0,6.0,2.3333,3.3333,1.0,2.0,1.0,2.0,4.0,16.0,2.6667,2.6,2.75,8.0,6.3333,5.3333,0
0,8,2,5,1,1,7,2,6,1,7,4,4,9,1,1,9,2,1,5,1,2,7,1,1,1,6,10,3,3,1,1,1,3,1,5,3,5,5,1,5,1,1,8,7,3,1,4,2,1,3,0
0,10,4,4,5,4,3,9,10,5,10,10,3,7,9,6,6,9,6,4,3,5,8,5,3,4,5,5,5,9,3,7,4,9,7,8,2,10,2,8,7,3,7,10,8,8,6,9,5,5,4,0
0,0,9,6,8,4,7,2,9,4,10,4,5,6,2,8,3,8,3,7,8,9,9,2,7,8,2,7,2,7,9,5,6,4,10,6,4,10,2,4,10,4,10,10,3,7,3,10,2,10,8,0
0,6,0,4,8,10,10,5,6,5,4,6,5,2,2,5,9,6,3,3,4,8,5,10,7,9,6,4,8,9,2,8,2,2,10,10,5,5,7,4,4,5,10,8,6,9,9,3,8,4,7,0
