
6
8


56 56 60 86 67 75 
97 67 84 70 78 92 
64 52 64 70 77 83 
58 93 60 92 79 92 
82 94 95 63 96 72 
65 78 91 95 67 87 
74 51 98 84 73 71 
65 88 57 80 83 71 


77 53 80 62 83 55 86 52 
72 82 80 98 91 71 75 80 
82 88 97 84 60 98 54 80 
60 72 55 52 86 56 66 72 
72 58 53 54 63 60 89 54 
58 71 55 59 59 86 66 97 
80 60 61 79 63 90 73 90 
86 85 84 99 93 90 93 68 

82 98 82 61 75 54 73 86 
64 99 72 94 80 54 68 61 
78 83 91 90 82 66 55 90 
86 89 69 85 98 65 81 95 
66 96 93 75 53 91 60 81 
79 73 58 90 61 59 84 94 
94 87 59 50 81 67 73 83 
84 57 84 91 69 91 59 82 

91 77 52 79 94 84 90 54 
67 69 69 94 54 67 88 84 
57 50 99 87 94 53 99 89 
96 57 74 97 94 70 88 57 
74 74 89 96 60 96 87 92 
66 71 70 99 85 74 51 61 
90 68 53 73 66 96 51 50 
71 58 80 71 76 90 71 67 

84 72 76 79 55 74 97 53 
77 76 77 85 67 99 62 96 
65 54 74 95 79 50 78 54 
69 87 65 81 63 58 84 86 
76 85 69 65 82 80 57 75 
69 78 57 59 97 99 93 66 
96 89 58 74 56 86 59 90 
68 75 79 65 79 76 60 60 

94 55 52 62 88 90 53 51 
67 81 89 63 75 64 78 51 
93 61 68 80 98 74 65 65 
99 65 55 77 73 91 67 60 
79 76 86 99 81 94 66 75 
63 56 58 74 91 85 92 93 
99 62 51 95 85 88 62 53 
60 60 50 79 76 84 98 64 

99 98 72 57 72 57 68 59 
57 92 60 69 68 91 69 78 
53 58 64 87 92 81 80 93 
91 92 69 92 54 68 97 83 
67 95 93 75 76 70 59 87 
64 65 50 83 53 72 55 77 
88 53 71 65 51 60 52 61 
92 71 90 67 77 63 79 59 


