
8
10


70 97 64 68 70 98 77 91 
75 54 61 71 84 62 77 68 
86 92 86 56 89 72 79 66 
53 98 63 79 52 64 57 97 
99 54 71 92 88 82 71 60 
72 73 86 90 56 94 92 61 
86 67 84 85 66 78 95 67 
66 61 66 90 91 90 58 52 
74 69 99 97 79 93 75 71 
98 53 50 70 80 84 75 58 


88 50 94 78 71 63 65 98 96 98 
99 91 61 80 87 85 51 63 56 56 
67 52 54 58 86 75 51 61 95 74 
87 73 51 82 69 96 52 58 54 67 
75 98 68 50 64 58 81 64 62 84 
78 78 79 53 91 66 95 77 72 54 
94 61 64 64 73 63 54 92 55 92 
76 76 69 76 74 83 84 90 95 95 
70 61 89 75 52 93 89 53 84 67 
82 62 64 83 50 77 58 84 71 52 

85 82 60 88 51 78 59 66 72 65 
59 73 55 61 65 85 59 89 70 76 
79 62 60 80 89 79 52 54 72 84 
64 76 99 75 54 53 62 98 97 80 
74 64 56 69 60 71 67 64 62 58 
62 63 86 94 94 86 73 84 59 80 
52 76 83 54 90 98 81 58 88 74 
91 68 96 91 77 53 87 87 58 98 
79 68 75 58 87 97 76 60 59 95 
87 81 78 71 72 69 74 51 70 59 

60 80 70 86 70 61 57 59 93 82 
83 91 78 80 71 91 67 95 55 76 
78 75 52 69 72 88 77 91 82 61 
68 98 92 95 65 56 96 85 50 66 
77 91 57 52 86 84 63 51 77 94 
57 88 67 61 65 64 68 71 81 99 
70 70 89 60 85 68 91 70 91 90 
62 52 81 90 78 96 72 84 86 89 
62 70 51 79 53 98 89 98 95 52 
65 85 53 65 54 90 75 80 74 66 

59 70 70 70 70 79 90 73 75 91 
92 51 52 78 71 84 79 99 84 93 
91 83 54 65 88 54 94 88 95 53 
80 53 98 91 59 72 72 57 51 51 
73 85 62 51 85 83 80 68 82 52 
65 89 64 94 58 95 76 98 73 91 
86 99 71 76 59 86 82 50 83 51 
88 91 54 62 86 72 52 57 79 57 
83 91 56 88 81 70 67 60 58 65 
71 86 71 77 92 57 99 87 71 52 

76 80 58 54 61 86 51 73 98 94 
70 64 90 92 68 70 60 54 65 82 
65 55 53 66 87 75 96 57 90 88 
65 50 98 52 62 52 56 93 74 59 
93 52 52 59 66 53 53 61 80 96 
53 64 59 71 64 52 50 57 87 58 
65 69 69 69 76 80 77 90 88 53 
50 82 88 77 64 96 78 80 89 76 
91 51 99 57 78 77 69 99 92 97 
99 59 96 63 75 81 88 72 68 68 

76 76 53 68 85 70 82 82 77 82 
57 61 95 82 71 63 85 88 72 90 
53 50 69 68 90 56 81 87 86 90 
59 85 55 99 76 66 93 71 85 86 
72 65 68 90 65 87 50 94 70 81 
86 59 82 73 70 78 73 61 62 91 
79 71 62 94 91 90 71 76 89 73 
60 88 65 65 90 53 66 74 98 94 
69 92 97 79 63 92 70 77 85 64 
85 51 51 96 99 92 55 57 89 86 

60 84 83 86 50 91 95 77 59 75 
62 60 51 73 99 88 67 69 72 71 
52 71 69 83 74 56 96 97 62 57 
94 84 86 67 79 83 54 88 78 66 
89 80 66 51 70 66 50 93 95 70 
93 73 63 78 77 92 77 94 82 76 
79 85 68 81 58 61 81 82 85 81 
84 88 97 93 92 56 86 62 60 60 
51 83 84 72 50 51 77 82 99 55 
56 94 90 82 84 99 86 55 76 60 

67 88 83 97 61 92 61 75 75 76 
56 68 53 69 83 74 67 84 64 93 
62 82 51 66 77 90 90 88 89 83 
51 94 79 85 60 90 53 66 81 59 
59 71 88 64 90 82 88 69 61 73 
82 70 70 62 51 91 86 85 84 57 
54 54 90 78 60 65 96 96 76 61 
67 67 71 83 71 70 99 55 97 88 
98 62 78 93 81 67 86 79 92 87 
79 59 90 85 69 67 90 99 93 56 


