
2
9


51 82 
50 87 
98 96 
75 73 
51 62 
51 77 
85 61 
83 93 
52 61 


95 69 79 93 61 66 63 71 85 
58 70 70 54 86 67 68 92 62 
94 56 63 80 63 71 63 66 83 
99 85 86 65 71 52 59 80 70 
99 71 72 97 81 75 54 61 98 
93 55 96 55 79 53 64 86 58 
93 80 77 96 53 95 97 55 76 
80 83 54 79 75 66 98 59 60 
52 53 88 74 94 66 90 95 77 

56 67 83 58 62 79 72 50 97 
91 59 87 93 62 93 77 88 85 
81 51 91 50 64 79 84 90 71 
50 62 52 92 70 87 82 56 95 
82 53 68 55 82 99 91 57 79 
87 58 97 63 95 68 62 53 52 
94 85 64 91 57 79 65 82 80 
80 73 79 96 59 76 76 78 75 
74 84 79 77 80 95 97 60 91 


