75	20																		
88	49	15	75	21	6	79	74	45	63	20	18	13	64	3	13	1	80	15	93
50	16	58	11	21	82	23	33	2	95	19	36	18	76	87	1	21	71	89	36
49	45	92	46	99	1	9	37	99	79	38	68	53	73	92	98	86	3	11	10
66	95	36	29	8	100	32	8	68	25	44	14	23	40	61	80	74	40	98	63
6	54	31	33	28	40	7	96	62	70	29	97	57	88	61	43	91	65	92	68
97	31	45	56	65	7	78	74	61	74	11	65	11	54	85	13	67	90	62	24
95	63	69	23	47	11	10	40	70	24	32	92	63	98	48	36	55	51	98	55
80	11	21	82	30	89	97	18	18	31	59	76	20	6	94	86	36	10	18	8
55	61	42	5	93	1	56	57	61	29	84	40	9	89	90	63	15	51	65	57
52	23	2	91	41	34	28	29	77	81	24	34	86	83	28	88	20	86	5	1
24	33	90	65	4	98	81	33	73	72	22	29	32	49	25	12	8	51	30	63
51	53	25	73	36	29	8	93	76	13	44	26	49	73	23	7	56	7	59	92
38	69	49	91	16	89	25	57	43	40	83	47	69	66	90	71	71	39	32	61
15	91	29	15	51	63	74	98	52	14	57	41	45	64	17	28	82	59	18	67
35	55	57	70	68	61	23	15	8	20	7	81	58	27	22	27	43	2	8	36
80	22	50	5	24	21	64	31	42	71	100	66	11	42	47	41	34	30	20	15
54	78	51	91	97	3	14	95	7	2	28	19	36	20	59	69	60	28	95	78
85	35	27	28	93	93	15	81	84	73	10	88	86	96	51	33	51	8	2	23
30	28	69	40	40	1	35	86	77	71	87	47	41	32	39	82	60	5	31	73
67	17	96	75	95	64	65	34	16	6	26	95	7	13	66	90	69	80	1	77
2	90	49	5	36	43	23	73	55	15	19	54	11	50	99	55	82	19	53	9
64	56	95	31	68	24	51	78	74	59	84	74	10	80	30	1	27	34	56	67
7	52	27	74	20	17	17	46	78	23	62	27	83	63	77	75	61	59	100	74
12	39	61	84	49	59	12	100	97	18	22	12	35	85	81	53	62	57	3	79
83	3	41	34	32	11	53	90	85	80	54	53	94	57	9	31	36	12	7	55
50	54	33	22	75	57	83	89	22	71	77	98	17	16	55	33	12	36	80	100
67	28	30	72	8	10	69	95	13	76	33	21	83	21	35	8	45	65	13	39
15	87	47	32	85	6	4	31	87	6	88	19	95	59	91	29	13	60	25	19
97	17	29	76	86	4	3	46	98	97	35	17	85	41	90	95	24	6	56	14
44	28	42	2	16	92	10	14	28	10	92	62	7	3	25	29	4	15	74	23
10	56	78	34	4	80	92	33	80	31	99	29	40	5	13	80	11	22	72	68
75	62	54	19	5	4	41	26	84	71	25	15	89	34	96	20	22	89	67	99
44	33	12	32	98	25	73	41	94	66	62	44	84	1	41	49	44	2	100	88
46	79	21	71	89	28	33	53	91	76	26	65	79	41	40	89	5	70	39	34
36	35	71	60	7	26	85	60	80	88	60	51	55	16	11	90	60	31	77	61
93	64	80	46	7	53	23	84	89	12	32	100	16	11	96	25	89	46	29	17
23	51	91	3	68	71	64	76	73	85	33	36	91	38	62	92	97	99	40	76
55	6	70	30	95	66	50	7	13	68	81	7	35	32	1	14	13	2	75	35
44	66	10	50	18	49	48	76	12	46	17	87	28	54	30	40	92	92	26	18
69	92	27	11	92	55	51	7	1	30	10	74	75	90	92	44	14	28	12	75
36	70	65	87	96	45	75	49	35	57	50	92	5	51	53	23	83	98	75	77
73	10	90	77	34	6	63	74	92	87	56	88	73	73	7	2	29	11	80	24
35	49	94	4	37	48	82	81	78	6	69	37	59	18	69	29	7	4	21	40
3	47	95	15	60	7	24	94	22	25	57	37	67	70	83	77	96	38	16	71
81	90	34	86	81	45	7	61	79	80	12	11	27	41	15	44	1	98	5	93
98	90	80	14	6	47	71	55	29	32	51	8	94	67	58	55	52	96	56	3
10	83	23	22	64	24	86	76	76	67	17	1	47	8	29	57	4	68	62	25
95	28	82	59	10	12	43	45	50	96	75	89	92	52	69	24	36	74	39	7
