30	15													
68	91	17	68	46	86	24	43	58	86	40	27	38	82	86
34	21	4	48	67	24	63	68	96	45	91	97	96	3	46
57	69	12	2	51	68	34	8	17	55	80	61	51	32	36
22	24	24	3	76	65	94	69	73	33	86	36	48	42	85
28	6	47	71	81	93	94	21	32	23	73	48	35	67	59
79	80	27	21	56	36	24	94	53	50	55	7	78	14	53
98	55	71	80	23	45	44	22	40	93	38	4	96	42	53
69	84	63	15	27	66	73	98	64	38	3	69	46	27	34
65	21	79	50	67	68	56	53	71	29	63	36	62	77	35
9	92	84	88	48	71	71	90	24	54	77	96	66	49	29
92	22	73	4	38	31	55	49	66	83	75	82	87	82	89
27	67	89	10	35	67	88	43	51	22	23	60	54	22	76
10	65	77	85	5	25	14	78	32	23	21	11	65	60	23
56	74	66	61	27	41	100	26	92	79	100	39	11	59	97
93	96	79	50	35	28	100	84	78	81	65	69	17	96	19
2	99	100	13	15	35	3	58	39	56	57	48	82	86	53
2	72	49	44	84	48	90	48	27	45	49	26	36	20	33
86	54	79	52	2	67	69	78	38	92	13	25	40	37	80
51	99	68	2	66	44	98	83	50	53	13	57	39	50	92
38	25	18	97	35	7	45	98	81	18	60	73	86	34	3
4	29	84	11	61	47	17	2	68	85	93	64	98	34	62
23	95	66	57	91	15	90	84	25	88	65	24	80	98	76
81	43	11	95	78	1	87	11	26	80	29	100	28	40	37
54	33	39	23	44	32	16	96	29	87	34	25	80	14	83
56	58	10	92	95	95	73	83	57	83	24	54	48	81	20
81	24	37	21	97	60	25	21	53	34	57	12	34	28	87
55	33	74	43	66	65	32	96	29	7	33	78	30	36	45
2	67	56	82	49	74	97	11	75	76	65	41	76	9	80
6	88	52	32	54	20	10	7	64	14	35	81	92	22	81
88	65	62	51	52	89	23	55	63	79	63	94	79	39	50
