50	10								
58	62	99	63	18	68	14	45	98	37
38	49	31	36	13	39	64	58	72	31
16	53	33	21	85	99	20	85	96	99
32	59	13	99	61	98	30	14	22	66
10	74	78	58	39	23	10	78	75	42
96	70	92	53	1	52	58	71	15	50
8	72	78	8	7	94	66	32	90	92
25	19	53	65	83	57	95	71	68	65
42	93	72	85	35	68	93	4	94	45
37	62	60	66	39	71	5	27	65	87
92	78	25	97	4	79	19	67	90	53
78	73	64	47	68	47	79	97	37	10
35	34	89	92	97	74	91	21	41	18
47	3	73	85	27	28	45	34	29	85
47	63	36	23	8	3	57	68	43	68
2	100	92	8	67	27	15	34	63	20
93	15	96	40	84	59	29	40	15	10
38	62	29	19	32	13	21	96	70	76
70	1	63	47	20	79	38	3	60	48
14	38	71	55	100	41	93	11	20	3
60	26	23	50	32	93	79	85	48	20
32	13	38	22	37	59	85	80	94	19
25	52	62	40	76	15	36	7	18	28
77	2	38	83	33	60	64	2	33	9
68	65	85	60	97	25	57	71	94	59
92	57	17	25	68	26	86	49	74	35
46	66	7	11	13	66	51	26	41	94
74	85	55	42	98	51	40	69	20	64
83	56	31	98	24	75	59	53	50	45
72	90	55	34	90	21	76	60	82	76
13	8	2	30	94	24	77	71	100	80
80	56	40	18	87	98	100	41	2	86
54	59	82	81	33	71	4	87	21	18
7	20	10	45	96	70	93	77	48	22
100	61	16	67	63	96	67	12	20	64
5	42	57	26	24	35	53	67	94	72
23	74	65	36	88	68	100	69	84	93
22	74	74	80	40	65	53	86	19	70
17	8	16	97	67	95	70	45	17	97
78	1	55	3	68	26	33	5	9	66
12	58	9	83	57	27	78	14	61	55
71	3	68	81	61	3	14	75	49	94
37	62	60	85	31	84	80	75	59	6
54	75	14	19	32	66	3	69	77	90
35	58	3	47	23	98	18	26	64	22
91	14	89	62	52	59	44	62	76	33
40	47	1	6	19	1	86	37	79	95
1	23	77	76	71	99	40	14	27	46
57	69	76	55	56	83	12	26	12	53
75	44	90	73	4	74	51	25	20	95
