30	15													
19	84	11	52	100	59	66	18	72	65	96	71	9	23	61
84	3	50	48	50	5	53	55	57	39	29	17	23	61	99
85	77	46	60	22	21	53	61	43	1	96	16	26	100	4
14	44	9	71	29	10	9	79	82	33	63	64	85	39	67
57	76	4	70	38	58	83	39	36	75	85	40	50	34	35
43	47	21	8	36	90	84	82	99	60	51	84	100	27	59
24	47	29	62	41	28	35	60	4	23	29	82	63	53	31
9	55	99	52	83	65	31	67	85	75	51	36	12	19	44
46	84	94	86	72	23	20	63	81	17	60	56	10	15	85
99	35	34	26	44	15	98	99	23	74	93	66	85	56	24
77	41	4	25	26	15	69	17	86	39	34	97	43	43	28
11	52	9	71	36	78	82	95	88	88	3	58	63	66	19
75	31	5	90	80	61	30	14	30	81	83	95	93	7	17
41	27	97	6	82	80	6	59	40	38	73	22	98	44	23
4	1	2	3	33	6	35	18	79	78	62	23	24	15	5
22	51	78	74	96	1	58	51	17	40	37	58	80	64	61
93	54	86	78	59	10	59	31	37	67	92	74	28	28	40
46	31	7	95	99	48	87	17	9	26	20	20	96	20	27
5	47	33	99	83	54	79	7	63	5	67	10	1	27	1
94	5	39	96	60	56	26	19	49	48	50	31	68	11	83
97	15	19	30	19	75	32	85	24	79	1	53	81	57	8
83	28	40	81	25	99	3	91	99	94	7	51	44	10	100
24	15	53	49	21	32	46	95	57	96	65	61	82	62	92
78	9	17	74	90	21	85	69	2	49	40	98	90	51	20
58	28	3	30	40	64	36	23	4	7	17	37	81	96	20
2	65	45	41	1	96	36	39	55	14	17	20	3	21	67
82	92	22	44	92	51	4	35	67	80	32	91	49	17	20
57	60	51	44	30	87	24	42	29	34	79	68	15	78	98
17	7	9	54	31	17	2	66	47	73	1	16	32	86	85
79	93	83	8	81	61	69	99	34	68	51	46	91	52	50
