20	10								
77	95	41	97	47	45	10	41	72	8
99	28	42	4	7	30	65	45	51	94
74	25	92	29	4	21	47	36	61	9
4	21	40	80	66	85	1	33	1	4
49	95	96	74	96	63	59	84	70	29
53	59	75	19	13	50	82	60	9	13
88	47	28	11	86	90	93	38	33	59
92	99	84	13	73	55	19	93	74	25
2	49	86	46	58	42	24	79	12	17
97	18	28	77	92	54	49	24	19	71
28	93	93	7	25	89	49	11	93	45
64	22	91	56	46	27	32	70	94	5
25	96	98	51	21	20	93	64	86	11
19	41	87	15	31	78	54	74	71	6
81	1	74	56	8	55	3	92	28	5
9	29	49	48	72	38	26	3	49	80
5	74	19	27	71	35	52	76	79	47
8	66	40	71	17	61	84	49	52	56
34	7	58	94	22	27	40	19	26	77
13	56	45	27	40	26	90	28	27	88
