20	15													
59	11	4	79	94	31	74	82	53	51	19	31	46	47	10
72	54	36	3	59	23	40	59	89	37	85	67	39	65	60
92	26	15	81	86	56	92	47	93	21	40	77	84	10	91
49	27	99	64	30	51	26	89	40	64	60	67	67	100	3
42	12	55	62	37	24	24	42	41	88	14	33	85	4	20
21	61	52	49	44	98	26	68	61	25	6	46	75	37	5
80	99	88	83	11	93	47	80	100	87	84	17	43	93	58
4	54	43	63	44	78	44	39	76	99	29	38	14	75	25
46	23	54	77	60	53	42	72	90	11	22	68	94	24	14
23	84	92	94	8	10	77	58	64	95	55	15	19	62	67
53	91	80	8	41	89	3	87	57	75	37	8	23	88	65
72	17	53	36	9	24	80	9	28	60	94	99	67	10	44
5	44	96	37	21	44	49	13	86	74	89	3	82	85	61
80	19	73	95	78	78	31	13	50	93	98	80	46	9	37
7	16	46	82	97	82	41	21	11	50	5	28	95	84	45
68	73	57	4	66	71	87	43	60	56	30	21	14	37	61
77	2	1	82	2	49	89	27	34	52	85	26	80	87	58
17	86	32	35	6	50	53	39	94	89	22	75	59	74	27
61	14	70	58	24	36	70	57	31	100	21	76	54	94	57
29	6	6	12	78	28	40	13	61	19	39	98	69	14	3
