1680	54	74	73
480	54	74	73
720	54	74	73
1920	84	112	96
720	84	136	96
960	143	238	141
480	84	136	96
1920	202	339	187
960	202	339	187
720	84	136	96
960	54	86	73
1920	202	267	187
1680	261	344	233
960	54	86	73
960	84	136	96
2400	54	86	73
1200	84	256	96
720	113	223	119
2400	261	440	233
480	261	728	233
720	261	440	233
1440	54	146	73
1440	261	344	233
720	143	190	141
1920	84	136	96
1920	143	238	141
720	54	86	73
1800	202	339	187
960	84	136	96
1680	84	136	96
2160	54	86	73
720	261	344	233
1440	113	187	119
2400	54	74	73
1200	261	344	233
1800	202	267	187
1680	84	136	96
960	143	190	141
960	143	190	141
2400	202	339	187
1200	261	440	233
960	54	86	73
2400	143	238	141
480	261	440	233
720	261	728	233
480	84	112	96
720	202	267	187
1200	261	344	233
1800	261	344	233
1680	261	344	233
1680	54	74	73
960	84	136	96
2160	143	238	141
1440	143	238	141
1680	113	187	119
720	84	136	96
1920	202	339	187
1200	84	136	96
960	143	238	141
2400	202	339	187
960	84	112	96
1680	54	74	73
720	202	267	187
1920	113	151	119
1920	143	190	141
960	261	440	233
960	143	238	141
480	143	238	141
1680	143	238	141
720	113	187	119
1920	202	339	187
1800	84	112	96
1440	261	728	233
1440	261	344	233
720	84	256	96
1200	54	86	73
960	54	86	73
1440	143	238	141
960	261	440	233
1680	54	86	73
1800	54	74	73
1200	143	190	141
2400	84	112	96
1680	54	86	73
1920	54	86	73
2160	54	86	73
480	113	223	119
1200	143	190	141
960	84	136	96
1200	261	440	233
960	143	238	141
480	202	411	187
1440	84	136	96
1800	84	112	96
960	202	339	187
2160	54	86	73
1800	54	86	73
1440	261	440	233
1800	202	339	187
1440	261	440	233
