30	15													
94	24	34	45	45	93	28	83	12	73	34	64	57	58	49
73	46	90	94	20	9	2	89	35	38	87	14	15	28	50
55	6	28	38	93	74	81	89	61	38	9	61	90	24	65
53	9	67	19	46	41	68	33	68	46	51	96	74	16	71
89	63	14	77	14	47	3	35	98	96	24	45	68	18	23
41	42	38	67	92	21	100	39	85	42	37	10	41	16	67
80	35	48	72	77	19	75	37	81	48	64	2	1	65	4
63	83	93	11	87	67	38	33	43	40	46	3	86	1	68
84	78	16	19	31	56	56	18	77	65	82	14	96	20	6
10	94	30	17	37	50	14	50	34	80	88	52	100	37	65
36	32	59	18	56	39	65	77	91	21	58	90	65	33	65
66	98	49	11	61	85	65	8	46	56	39	29	63	42	4
79	42	65	49	77	12	38	75	80	76	65	50	8	9	33
90	52	18	17	66	7	83	24	37	48	15	92	72	20	2
64	40	19	49	100	74	12	71	80	9	31	1	55	18	9
34	69	36	47	71	44	71	20	5	96	15	83	93	36	95
25	6	13	9	46	80	37	52	76	95	56	84	17	9	51
40	62	98	3	23	69	1	3	43	68	91	37	92	84	48
6	38	74	83	21	14	84	41	100	88	58	59	36	99	68
17	79	95	70	70	40	53	5	86	57	59	37	40	33	89
55	15	11	12	85	40	11	26	8	97	38	28	3	59	30
84	59	92	29	89	89	56	48	32	41	29	9	58	84	58
44	76	34	98	87	99	19	89	43	8	55	55	87	22	97
92	97	2	59	47	69	47	85	66	69	19	85	32	86	65
71	90	69	8	47	89	53	86	97	93	56	58	65	37	94
20	94	66	75	18	14	32	66	2	1	10	9	8	28	66
48	56	18	96	53	5	29	22	41	83	57	14	61	90	4
48	46	80	26	42	68	81	11	1	41	34	59	33	43	78
91	5	10	66	64	57	13	38	26	52	89	38	93	93	50
57	78	60	30	20	3	68	83	45	42	94	26	32	47	94
