20	15													
60	70	51	74	6	4	27	5	30	79	58	49	91	20	63
79	53	74	87	18	16	44	95	41	3	20	59	74	33	42
94	57	19	77	70	90	36	73	37	24	28	23	16	97	75
23	3	82	87	45	54	76	60	61	98	68	14	10	17	9
38	32	68	7	49	49	72	31	70	8	26	81	86	60	74
27	14	77	20	92	74	33	44	43	52	10	81	30	93	71
23	55	67	6	64	68	19	73	92	96	3	21	51	3	25
41	91	90	43	37	96	99	46	41	51	33	49	17	64	68
92	44	12	37	75	20	14	43	26	64	85	14	54	54	97
69	69	71	54	36	96	3	27	16	61	94	96	85	34	34
16	38	36	48	92	20	55	89	75	57	89	62	36	36	69
37	19	55	2	96	10	81	29	2	34	83	1	45	23	64
4	57	26	29	91	94	21	30	30	51	31	62	53	29	51
55	65	21	99	27	53	42	78	63	25	86	60	64	76	69
17	70	33	81	24	35	77	21	83	19	44	70	90	34	90
76	94	54	34	12	28	24	5	59	4	46	93	32	78	48
81	49	83	72	31	72	91	8	40	93	84	63	67	36	84
63	70	14	85	66	41	64	54	10	65	26	58	20	64	41
98	39	91	5	55	28	43	97	35	23	50	99	59	63	95
47	48	89	33	99	10	54	94	52	44	73	67	44	36	98
