low	10_1	0.1	0.9	0.1	4	1	2	724.0	0.437
low	10_1	0.1	0.9	0.1	4	1	2	724.0	0.304
low	10_1	0.1	0.9	0.1	4	1	2	724.0	0.282
low	10_1	0.1	0.9	0.1	4	1	2	724.0	0.31
low	10_1	0.1	0.9	0.1	4	1	2	724.0	0.418
low	10_1	0.1	0.9	0.1	4	1	2	724.0	0.308
med	10_1	0.1	0.9	0.1	4	1	2	661.0	0.283
med	10_1	0.1	0.9	0.1	4	1	2	661.0	0.305
high	10_1	0.1	0.9	0.1	4	1	2	1272.0	0.278
high	10_1	0.1	0.9	0.1	4	1	2	1272.0	0.277
low	10_2	0.1	0.9	0.1	4	1	2	660.0	0.278
low	200_1	0.1	0.9	0.1	4	1	2	195786.0	7.053
low	200_1	0.1	0.9	0.1	4	1	2	194456.0	8.419
low	200_1	0.1	0.9	0.1	4	1	2	196847.0	7.628
low	200_1	0.1	0.9	0.1	4	1	2	196169.0	6.281
low	200_1	0.1	0.9	0.1	4	1	2	196831.0	10.071
low	200_1	0.1	0.9	0.1	4	1	2	193115.0	9.518
low	200_1	0.1	0.9	0.1	4	1	2	194302.0	7.363
low	200_1	0.1	0.9	0.1	4	1	2	194264.0	6.717
low	200_1	0.1	0.9	0.1	4	1	2	195326.0	5.724
low	200_1	0.1	0.9	0.1	4	1	2	195646.0	8.531
low	200_1	0.1	0.9	0.1	4	1	2	195048.0	7.795
low	200_1	0.1	0.9	0.1	4	1	2	193351.0	9.278
low	200_1	0.1	0.9	0.1	4	1	2	192807.0	5.805
low	200_1	0.1	0.9	0.1	4	1	2	196172.0	6.0
low	200_1	0.1	0.9	0.1	4	1	2	195698.0	11.422
low	200_1	0.1	0.9	0.1	4	1	2	196756.0	5.485
low	200_1	0.1	0.9	0.1	4	1	2	194576.0	8.904
low	200_1	0.1	0.9	0.1	4	1	2	196549.0	7.848
low	200_1	0.1	0.9	0.1	4	1	2	193718.0	11.022
low	200_1	0.1	0.9	0.1	4	1	2	193958.0	7.877
