0.0	4 7 6 2 3 10 5 9 1 8 3 2 2 3 
0.0	5 2 10 6 8 3 9 1 4 7 2 3 2 3 
0.0	3 8 6 2 10 9 5 7 4 1 3 1 5 1 
0.0	3 5 1 4 10 9 6 7 2 8 4 1 3 2 
0.0	3 5 4 8 6 9 2 7 10 1 5 2 1 2 
0.0	8 2 6 1 10 3 7 4 9 5 4 4 1 1 
0.0	1 5 3 10 4 9 8 2 7 6 1 3 5 1 
0.0	7 1 9 2 3 8 10 5 6 4 4 2 2 2 
0.0	1 5 8 10 4 2 9 6 7 3 2 4 3 1 
0.0	9 6 5 3 7 10 1 4 2 8 2 3 1 4 
0.0	1 8 9 2 10 5 7 4 3 6 3 2 3 2 
0.0	5 7 9 8 1 4 6 10 3 2 4 2 3 1 
0.0	1 5 4 2 6 10 7 3 8 9 6 1 1 2 
0.0	3 1 7 6 4 2 10 5 9 8 3 3 2 2 
0.0	5 4 1 10 8 7 3 9 2 6 1 2 4 3 
0.0	9 1 3 8 4 6 7 10 2 5 2 3 3 2 
0.0	6 5 9 7 4 1 8 10 3 2 3 3 3 1 
0.0	1 3 2 8 6 5 10 4 7 9 2 1 3 4 
0.0	1 9 2 5 3 6 10 7 4 8 3 2 4 1 
0.0	8 6 9 4 10 7 3 5 1 2 4 2 2 2 
0.0	2 4 10 8 5 7 3 9 1 6 2 4 2 2 
0.0	4 9 8 1 5 6 7 2 10 3 1 3 4 2 
0.0	1 7 8 2 3 10 5 4 6 9 4 3 1 2 
0.0	4 5 9 2 8 3 7 1 10 6 2 2 3 3 
0.0	2 6 10 9 3 4 7 8 1 5 2 2 2 4 
0.0	7 6 2 4 3 1 9 5 10 8 2 3 3 2 
0.0	4 7 9 1 3 6 8 5 2 10 2 3 3 2 
0.0	2 7 9 5 3 1 10 4 6 8 3 2 4 1 
0.0	10 4 5 2 8 6 1 7 9 3 2 2 2 4 
0.0	4 1 8 7 9 3 2 10 6 5 1 3 2 4 
0.0	7 8 3 6 5 9 2 1 10 4 3 3 1 3 
0.0	5 9 8 7 4 6 3 1 2 10 2 2 3 3 
0.0	3 4 9 7 10 6 8 2 1 5 3 3 3 1 
0.0	1 2 7 10 3 4 5 9 8 6 2 1 5 2 
0.0	3 8 4 6 9 2 5 7 10 1 2 3 1 4 
0.0	2 3 10 4 9 5 1 8 6 7 2 4 2 2 
0.0	7 9 5 4 2 10 8 3 6 1 2 3 3 2 
0.0	10 5 8 6 2 7 3 1 4 9 2 2 2 4 
0.0	5 4 10 3 1 7 9 2 8 6 4 1 4 1 
0.0	3 5 4 6 10 9 2 1 7 8 3 3 2 2 
