0,281,175,65,193,275,82,94,188,52,202,149,35,332,372,192,259,43,81,295,32,312,27,369,37,293,317,128,300,46,296,290,292,65,163,368,203,56,242,316,25,284,37,50,231,334,358,244,101,197,334,0
0,17,18,13,13,17,14,11,12,17,7,2,4,7,9,14,2,8,2,15,12,13,17,9,7,15,10,13,2,20,19,6,8,20,2,12,5,19,14,6,2,2,2,19,19,17,7,6,2,11,15,0
0,512,397,257,365,317,256,205,338,266,307,218,284,497,513,460,412,113,285,451,244,460,190,660,126,502,617,248,583,260,538,430,396,248,408,601,488,265,408,600,321,454,310,172,456,433,575,486,354,332,381,660
0,521,406,264,372,326,263,211,344,275,311,219,286,501,518,467,413,117,286,459,250,467,199,665,130,510,622,255,584,270,548,433,400,258,409,607,491,275,415,603,322,455,311,182,466,442,579,489,355,338,389,665
0,20,19,18,5,20,16,18,7,3,3,12,10,11,8,17,16,5,17,20,4,7,20,3,11,17,3,6,5,9,14,12,7,7,17,9,4,6,9,16,19,16,10,11,5,19,7,9,4,2,9,0
0,2.2222,2.1111,2.5714,0.71429,2.2222,2.2857,3,1.1667,0.33333,0.75,12,5,2.75,1.6,2.4286,16,1.25,17,2.5,0.66667,1,2.2222,0.6,2.75,2.125,0.6,0.85714,5,0.9,1.4,4,1.75,0.7,17,1.5,1.3333,0.6,1.2857,5.3333,19,16,10,1.1,0.5,2.1111,1.75,3,4,0.33333,1.125,0
0,10,8,10,9,9,7,10,9,4,6,8,4,8,10,6,2,5,5,8,3,5,5,7,6,9,9,8,3,9,6,4,2,4,2,10,5,6,5,8,5,3,8,3,7,5,7,4,8,3,8,0
0,0,6,9,7,9,7,10,10,2,9,8,10,7,5,4,9,3,5,3,5,9,9,7,9,9,7,7,7,5,9,3,2,3,10,5,9,2,5,2,7,6,10,7,5,2,2,8,2,7,2,0
0,7,0,6,6,8,10,10,6,8,4,5,7,3,7,6,10,7,4,4,10,2,5,7,10,4,3,10,4,6,6,6,10,9,4,2,8,5,9,2,3,9,6,6,10,3,4,4,7,10,6,0
0,2,9,0,6,8,3,3,9,5,9,10,6,10,2,4,5,3,7,9,5,10,3,5,8,4,3,9,4,4,3,7,3,3,10,10,4,5,7,9,7,5,7,6,4,3,9,4,5,10,4,0
