0,61,74,56,57,4,41,87,20,43,82,54,6,15,23,19,0
0,12,12,13,15,5,13,19,9,2,14,14,12,10,13,13,0
0,158,158,130,133,117,153,188,141,121,189,129,88,95,99,135,189
0,162,162,134,138,119,157,194,144,122,194,134,92,98,103,139,194
0,15,14,18,2,17,9,6,17,3,18,16,5,4,16,16,0
0,3.75,3.5,4.5,0.4,8.5,2.25,1,5.6667,3,3.6,3.2,1.25,1.3333,4,4,0
0,9,3,6,4,10,7,10,7,5,6,9,7,8,10,9,0
0,0,4,6,2,9,6,9,10,8,7,3,9,8,5,3,0
0,2,0,4,6,3,6,7,5,9,3,10,7,8,9,4,0
0,8,7,0,3,7,6,5,10,4,3,7,9,2,7,4,0
0,7,2,6,0,4,10,2,9,4,4,7,8,8,3,7,0
0,6,2,3,10,0,4,10,10,4,10,2,3,4,4,4,0
0,2,2,8,9,8,0,2,10,9,4,5,10,6,3,9,0
0,10,4,6,5,3,8,0,7,9,9,7,3,3,7,7,0
0,3,5,9,6,4,3,3,0,4,3,3,9,7,5,8,0
0,10,8,3,7,2,5,3,6,0,6,8,6,7,3,2,0
0,8,5,10,9,9,4,9,8,5,0,3,8,8,3,5,0
0,10,2,10,2,3,6,3,9,8,5,0,5,5,7,9,0
0,6,9,7,5,10,8,4,3,5,8,4,0,2,7,9,0
0,6,6,2,7,4,3,9,6,5,8,3,7,0,6,4,0
0,4,6,7,2,6,2,10,2,2,7,10,2,4,0,10,0
0,9,9,5,9,9,8,9,9,8,2,5,4,4,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
