0,23,193,315,238,90,211,141,69,143,147,179,290,231,273,262,83,12,322,43,4,180,95,62,148,10,59,107,257,280,134,3,40,47,23,55,203,269,296,300,292,138,296,276,287,9,225,312,38,8,287,108,287,84,73,213,261,111,315,174,232,284,227,280,44,161,76,100,74,48,117,87,216,292,234,134,54,23,164,266,281,127,313,47,137,134,48,220,289,93,50,172,271,128,221,100,156,173,95,151,302,0
0,11,18,6,20,5,3,7,14,11,4,13,7,7,5,11,4,13,8,20,9,17,9,7,8,11,10,3,13,20,11,20,14,2,6,11,2,19,20,6,2,10,5,12,15,20,18,8,2,20,16,13,12,2,4,15,12,8,15,20,7,6,15,5,8,17,6,15,20,15,16,16,8,11,13,20,4,17,18,17,20,2,4,19,5,16,18,5,7,10,6,3,5,12,9,2,13,8,12,2,8,0
0,1095,845,1167,642,731,1268,830,694,729,755,922,1086,1209,903,772,862,530,1256,961,873,767,488,533,1017,877,983,537,711,819,611,1055,1140,834,430,894,1335,1239,1426,1314,812,979,1251,929,1047,522,1344,960,1023,955,897,653,897,636,489,874,899,775,835,1094,1308,1319,1009,1227,1053,972,465,784,1118,1040,907,971,946,679,1110,769,592,572,1270,743,1197,1230,932,762,683,1209,1063,1008,1223,640,587,907,704,1087,1150,590,863,833,895,801,1144,0
0,1103,858,1172,656,735,1271,835,704,737,758,932,1091,1214,907,780,865,540,1262,975,880,779,495,538,1023,885,990,540,721,833,619,1069,1150,836,435,902,1337,1253,1440,1319,814,986,1255,938,1058,536,1357,966,1025,969,909,663,906,638,492,885,908,781,846,1108,1313,1324,1020,1231,1059,984,470,795,1132,1051,919,983,952,687,1120,783,595,584,1283,755,1211,1232,935,776,687,1221,1076,1012,1228,647,592,910,708,1096,1157,592,873,839,904,803,1150,0
0,12,19,3,11,12,19,4,9,16,11,9,19,15,19,19,11,17,4,4,11,15,6,18,19,10,3,2,12,13,18,13,4,19,19,2,16,17,3,4,20,20,10,19,19,5,7,2,8,2,18,13,8,16,2,16,14,18,9,18,6,4,16,20,12,19,15,5,20,18,9,8,11,9,8,15,13,6,5,6,14,5,14,11,10,13,9,8,9,3,11,14,16,11,9,14,14,14,20,20,20,0
0,1.5,1.4615,0.6,0.78571,3.0,6.3333,0.8,0.9,2.0,3.6667,0.9,3.8,3.0,4.75,2.375,3.6667,1.7,0.66667,0.28571,1.5714,1.25,0.85714,3.6,3.1667,1.25,0.42857,0.66667,1.2,0.92857,2.25,0.92857,0.4,9.5,3.8,0.25,8.0,1.2143,0.21429,0.8,10.0,2.8571,2.5,2.1111,1.7273,0.35714,0.53846,0.33333,4.0,0.14286,1.5,1.3,0.88889,8.0,0.66667,1.4545,1.5556,3.0,0.81818,1.2857,1.2,0.8,1.4545,5.0,2.0,1.5833,3.0,0.45455,1.4286,1.6364,0.75,0.66667,1.8333,1.125,0.8,1.0714,4.3333,0.5,0.38462,0.5,1.0,2.5,4.6667,0.78571,2.5,1.0833,0.69231,2.0,1.8,0.42857,2.2,4.6667,4.0,1.2222,1.2857,7.0,1.4,2.3333,2.2222,10.0,3.3333,0
0,60,37,68,75,77,38,84,53,45,68,77,81,3,64,24,40,45,76,66,11,53,98,38,25,9,66,56,79,2,29,18,8,95,89,76,99,51,28,53,74,71,45,80,37,31,23,47,45,68,13,62,28,21,60,44,75,68,34,100,31,97,6,39,7,69,28,37,69,44,77,53,22,65,30,81,79,3,81,17,44,26,56,80,64,30,22,72,82,71,50,95,31,91,7,1,20,63,72,4,41,0
0,9,6,8,10,3,2,8,7,6,8,8,8,9,2,4,8,3,2,2,9,4,6,8,10,8,3,7,6,7,6,5,6,6,4,6,2,2,4,7,10,3,10,2,3,7,8,6,5,2,8,10,5,2,7,9,6,5,7,9,10,8,9,3,8,8,10,6,3,2,7,3,3,5,4,4,2,9,8,5,3,3,2,8,10,4,6,3,4,2,4,5,4,5,5,6,4,10,8,2,2,0
0,0,6,5,9,4,6,6,7,3,8,2,7,4,8,10,7,7,2,8,3,2,8,2,3,3,6,3,3,2,10,6,8,4,10,9,8,8,10,8,4,3,3,8,4,9,10,3,4,10,4,4,2,10,5,7,2,5,4,7,9,9,8,10,4,3,4,8,5,6,10,10,10,9,9,8,5,6,6,9,4,7,6,10,9,4,6,6,3,3,9,10,7,4,2,9,9,6,3,7,4,0
0,6,0,7,2,3,7,5,8,3,4,7,9,6,4,2,9,10,9,4,9,2,8,7,5,8,2,7,6,3,5,3,3,5,6,9,5,5,4,6,7,10,8,5,9,7,2,9,9,9,7,9,4,8,8,8,10,4,9,8,5,8,9,5,5,5,10,10,7,2,10,4,3,7,8,7,2,2,2,4,6,8,6,2,4,9,10,2,6,6,7,3,7,4,9,5,6,9,10,7,10,0
