40	6	34	1	39	19	44	31	33	30	21	36	48	27	8	35	43	2	22	18	15	29	11	3	49	24	10	5	7	46	4	13	17	16	47	40	41	38	20	28	14	42	25	37	9	32	26	50	23	45	12	2789
40	33	43	34	48	44	8	30	29	27	49	42	45	21	41	18	36	39	31	50	35	20	28	2	37	6	46	32	47	40	1	24	11	16	7	17	5	10	4	14	9	19	3	15	38	13	22	12	26	23	25	2814
40	6	34	48	50	39	45	31	33	49	43	42	30	44	19	8	35	41	18	2	36	47	46	40	28	21	24	22	16	17	27	12	37	11	38	1	15	5	10	3	13	14	4	7	9	20	29	26	32	23	25	2788
40	6	48	34	43	49	33	39	30	44	45	29	50	31	8	27	35	42	21	18	2	28	19	40	26	24	16	38	22	17	37	12	11	10	13	1	5	9	14	3	4	15	47	20	46	41	7	32	23	36	25	2793
40	6	48	50	33	49	43	34	30	19	31	8	29	28	42	21	35	32	41	39	47	36	37	27	44	18	2	46	24	11	45	12	17	13	1	5	16	10	7	14	3	4	15	20	38	9	22	40	26	23	25	2788
40	6	48	33	43	49	34	39	30	29	45	31	27	35	42	47	41	19	8	26	21	18	28	2	24	36	37	22	40	32	11	12	17	16	10	1	5	13	7	14	3	15	46	38	20	4	9	44	23	50	25	2800
40	6	35	50	43	30	29	49	42	48	33	37	44	31	34	36	21	19	8	26	18	47	28	2	22	46	41	24	40	17	27	12	11	38	45	20	1	15	5	16	10	13	14	3	23	4	7	9	39	32	25	2800
40	6	48	50	34	43	49	19	33	8	28	29	21	27	35	46	32	41	39	47	44	31	42	18	2	30	36	24	11	45	12	17	1	15	5	10	13	7	14	3	16	38	20	4	37	9	40	26	23	22	25	2789
40	6	48	50	44	34	49	19	43	33	8	28	29	45	21	27	35	46	41	39	47	31	42	18	2	32	36	24	37	40	11	30	12	17	1	15	5	10	13	7	14	3	16	38	4	9	20	26	23	22	25	2789
40	6	48	50	44	49	33	43	34	30	19	27	8	32	37	29	28	39	21	36	35	45	41	18	42	47	31	2	24	46	17	12	11	38	40	1	15	5	16	10	13	14	3	4	7	9	20	26	23	22	25	2789
40	6	48	44	34	49	39	43	30	50	45	29	31	8	36	23	27	35	42	47	33	46	18	2	41	21	28	24	37	17	32	12	11	13	1	5	16	38	19	10	40	15	14	3	4	7	9	20	26	22	25	2789
40	6	34	48	50	39	49	44	45	43	30	33	32	19	27	8	37	29	28	21	36	35	41	18	42	47	31	2	24	46	17	12	11	38	40	1	15	5	16	10	13	14	3	4	7	9	20	26	23	22	25	2789
40	6	48	44	34	49	43	30	33	29	31	27	35	42	45	21	41	47	19	8	40	26	20	18	28	2	46	24	17	12	11	38	22	1	15	5	16	10	13	14	3	4	36	37	7	9	39	32	23	50	25	2800
40	6	50	30	43	33	49	44	48	34	19	27	8	32	39	29	28	21	35	41	18	47	45	36	31	2	42	24	46	17	12	11	38	37	40	1	15	5	16	10	13	14	3	4	7	9	20	26	23	22	25	2789
40	6	34	39	49	50	43	30	32	33	48	44	45	19	27	8	29	28	21	35	41	18	47	36	31	2	42	24	46	17	12	11	38	37	40	1	15	5	16	10	13	14	3	4	7	9	20	26	23	22	25	2800
40	6	50	34	49	43	30	33	39	48	19	27	8	29	28	44	21	35	32	41	18	47	36	31	2	45	42	24	46	17	12	11	38	37	40	1	15	5	16	10	13	14	3	4	7	9	20	26	23	22	25	2789
40	6	50	34	49	43	30	33	39	48	19	27	8	29	28	44	21	35	32	41	18	47	36	31	2	45	42	24	46	17	12	11	38	37	40	1	15	5	16	10	13	14	3	4	7	9	20	26	23	22	25	2789
40	6	50	34	49	43	30	33	39	48	19	27	8	29	28	44	21	35	32	41	18	47	36	31	2	45	42	24	46	17	12	11	38	37	40	1	15	5	16	10	13	14	3	4	7	9	20	26	23	22	25	2789
