63	13	68	43	55	82	28	38	42	60	41	89	51	1	12	30	23	11	10	25	97	90	61	96	58	32	2	57	65	26	31	14	88	70	16	77	40	100	9	86	62	59	22	5	67	91	45	71	54	33	7	81	34	24	56	99	80	95	92	46	37	74	53	69	79	49	21	93	6	35	73	47	83	52	78	15	18	29	84	76	20	98	4	27	3	66	63	19	75	44	72	85	87	8	50	48	64	36	39	94	17	5241
63	43	97	90	94	96	55	82	89	100	14	68	60	99	41	70	91	51	38	95	98	65	57	86	92	93	75	58	13	79	77	67	59	61	80	76	40	32	11	83	17	31	45	25	30	53	74	62	69	39	10	7	12	81	78	52	54	16	21	46	22	49	66	56	19	26	47	18	1	73	72	87	33	63	6	24	29	84	15	36	5	20	9	37	4	44	48	3	27	8	85	35	50	34	71	64	2	23	42	28	88	5222
63	97	68	94	100	90	82	89	30	98	43	95	91	41	86	92	93	44	67	58	80	51	76	79	83	70	85	77	40	81	42	59	99	61	78	60	74	32	62	14	73	25	52	87	31	10	56	21	36	12	54	26	84	38	69	45	46	13	16	53	47	7	49	33	72	50	18	24	6	66	1	22	63	29	23	15	27	9	17	2	4	19	37	20	48	3	64	8	35	75	5	34	65	71	57	11	39	28	88	96	55	5213
63	43	55	68	97	94	89	100	90	82	95	96	91	13	86	25	60	41	58	92	70	67	71	85	65	80	51	59	81	77	42	38	61	76	99	75	79	83	64	40	23	78	74	62	93	45	98	69	87	36	88	54	44	14	84	56	31	46	7	26	57	49	30	12	66	10	1	72	19	52	47	18	37	29	22	63	21	24	6	16	32	9	2	27	4	73	3	15	8	20	33	50	35	53	17	5	34	48	11	28	39	5206
63	89	43	68	97	86	60	100	30	91	99	94	96	82	93	95	98	41	59	90	77	75	61	88	80	92	79	58	76	74	64	67	38	62	70	83	71	81	13	36	40	14	78	56	45	31	32	69	87	48	54	25	52	21	53	26	16	73	47	49	72	57	18	66	12	46	10	7	50	1	29	84	42	63	44	24	6	27	2	9	4	33	37	22	3	19	15	23	34	8	35	20	85	11	5	65	17	51	28	39	55	5212
63	43	82	97	90	89	68	14	92	93	88	70	96	41	91	95	100	86	99	98	65	80	42	61	62	94	81	51	67	73	83	76	38	44	75	71	74	57	58	87	60	78	69	45	85	36	53	40	13	31	54	25	30	84	10	7	52	49	46	66	72	56	26	64	16	23	47	59	12	32	63	19	77	24	27	1	22	29	9	2	4	21	17	5	3	6	15	20	33	37	8	35	18	79	50	48	34	28	11	39	55	5206
63	97	23	82	94	100	89	14	90	55	92	93	70	88	86	98	95	91	58	68	42	41	77	38	75	51	76	61	80	79	87	81	28	67	78	45	43	83	96	59	65	69	40	62	44	56	31	54	25	30	10	7	36	52	49	46	66	72	53	26	16	60	32	12	99	84	29	27	47	18	21	24	6	17	1	2	4	9	5	3	19	37	63	73	15	20	33	8	35	22	50	74	57	48	34	11	13	71	85	64	39	5223
63	43	82	97	90	89	86	14	70	71	61	38	57	83	85	60	41	58	80	65	68	55	59	93	77	91	98	51	75	99	94	96	88	79	87	92	100	95	81	76	74	28	67	62	44	78	45	40	54	32	56	31	13	25	30	17	66	49	10	26	7	16	23	63	73	46	72	12	53	29	84	47	21	27	24	20	6	15	37	22	19	1	9	2	52	4	33	5	3	69	8	35	18	50	34	36	48	11	64	42	39	5206
63	97	89	14	55	57	77	82	93	94	90	96	88	91	86	92	100	95	71	42	60	41	85	68	51	58	80	59	61	98	65	38	70	79	99	78	45	43	87	76	83	62	81	40	54	32	53	31	25	30	21	52	16	66	67	17	84	49	23	47	44	63	7	26	12	73	33	35	19	24	37	20	46	22	1	6	29	72	15	27	11	9	2	10	4	69	74	75	18	5	3	8	50	56	34	13	36	48	64	39	28	5213
63	43	55	68	97	89	100	77	82	94	93	86	95	70	90	87	92	98	88	91	71	14	96	99	65	57	41	83	85	58	59	60	51	76	74	80	42	67	62	64	44	61	38	81	84	69	78	79	45	75	40	54	56	25	30	66	46	13	31	23	47	52	63	32	49	72	34	26	37	73	53	16	10	7	12	22	29	17	18	27	24	20	6	15	33	35	19	1	9	2	4	21	5	3	8	50	39	36	48	11	28	5206
63	43	82	94	89	68	70	97	100	95	91	90	99	14	93	98	86	92	96	83	87	71	65	28	42	41	58	80	51	62	81	64	38	44	78	61	45	76	69	67	79	60	53	57	40	54	75	13	52	49	30	73	74	55	25	66	46	63	59	23	31	47	84	72	34	37	10	7	26	16	77	85	56	12	22	29	18	27	24	20	36	6	15	21	35	19	1	9	2	33	4	32	5	3	8	50	48	11	17	88	39	5208
63	43	97	55	82	94	100	89	70	90	96	68	99	91	61	86	92	93	87	98	71	65	14	41	75	85	51	58	80	83	62	64	88	81	60	44	76	78	45	67	69	57	53	42	48	38	40	54	25	52	30	10	7	49	66	95	31	32	13	34	16	59	23	47	72	35	18	46	63	56	12	33	37	21	22	26	74	24	20	73	17	1	6	29	84	15	27	9	2	77	79	4	19	5	3	8	50	36	11	39	28	5222
63	43	82	97	89	70	68	95	91	14	99	96	90	92	93	98	100	61	94	86	65	87	71	42	85	83	80	57	45	41	62	75	64	53	76	48	40	23	78	54	38	81	44	13	36	25	77	58	79	49	30	66	67	10	7	16	84	34	63	51	73	46	72	47	59	12	22	29	31	21	27	24	20	74	6	15	18	26	52	35	19	1	37	9	2	33	4	32	5	3	8	50	56	69	60	11	55	17	39	28	88	5210
